s,x,px
0.0,0.0,1.2e-05
8.000000000000001e-07,1.1908785561442088e-11,1.1776018375375625e-05
2.0000000000000003e-06,2.346597011816329e-11,1.1293082296772775e-05
2.8000000000000003e-06,3.439800281589551e-11,1.051880682400383e-05
4.000000000000001e-06,4.4390993842343815e-11,9.406767720500415e-06
4.800000000000001e-06,5.3083640778068993e-11,7.911856254267172e-06
6e-06,6.007987364875815e-11,6.014263490152906e-06
6.800000000000001e-06,6.498833671890733e-11,3.747709487726611e-06
8.000000000000001e-06,6.748696269238042e-11,1.2184764943512262e-06
8.8e-06,6.739450939589851e-11,-1.4021935185180262e-06
1e-05,6.471790594980441e-11,-3.9179058565888805e-06
1.08e-05,5.965035033566592e-11,-6.161027312691064e-06
1.2e-05,5.252122307378224e-11,-8.030538497827343e-06
1.28e-05,4.372409570199715e-11,-9.497330915113536e-06
1.4e-05,3.365354393545048e-11,-1.05839286966257e-05
1.48e-05,2.266765920718848e-11,-1.1336224339105435e-05
1.6e-05,1.1077076157762634e-11,-1.1800054903901237e-05
1.68e-05,-8.468913890422401e-13,-1.2006441746034649e-05
1.8e-05,-1.2853131542870892e-11,-1.1963937519344237e-05
1.88e-05,-2.4686428561764604e-11,-1.1655569392085284e-05
2e-05,-3.60619035436715e-11,-1.1039427218024013e-05
2.08e-05,-4.664240495186035e-11,-1.0054452333750907e-05
2.2e-05,-5.6025821152854477e-11,-8.635237288843273e-06
2.28e-05,-6.375335264759574e-11,-6.739477231227581e-06
2.4e-05,-6.93509705167503e-11,-4.385515458628622e-06
2.48e-05,-7.24074612352157e-11,-1.6840565175139222e-06
2.6e-05,-7.267018032957333e-11,1.1625320665721682e-06
2.68e-05,-7.011640505218689e-11,3.908208849044023e-06
2.8e-05,-6.496020987507165e-11,6.3376329734134615e-06
2.91999999999e-05,-5.7590684897057094e-11,8.321758795433923e-06
3e-05,-4.84770842529092e-11,9.826997509087782e-06
3.08e-05,-3.8085275333994193e-11,1.0887421564809099e-05
3.2e-05,-2.6829288880787663e-11,1.1566637157975693e-05
3.28e-05,-1.505776055335452e-11,1.1927960701114021e-05
3.4e-05,-3.0636917916307074e-12,1.2017478256994488e-05
3.48e-05,8.894129524761187e-12,1.1856926632093257e-05
3.6e-05,2.056574785612949e-11,1.1442341156780797e-05
3.68e-05,3.168523290148256e-11,1.07464366595607e-05
3.8e-05,4.1950243288092234e-11,9.725247429928184e-06
3.88e-05,5.1011306938503657e-11,8.33138056664192e-06
4e-05,5.84786116348141e-11,6.535900044979795e-06
4.08e-05,6.395429042304619e-11,4.356383209085467e-06
4.2e-05,6.709159720985627e-11,1.8800078854252939e-06
4.28e-05,6.766733388946168e-11,-7.359294225229783e-07
4.4e-05,6.563842240660464e-11,-3.29636777170426e-06
4.48e-05,6.11537025461715e-11,-5.621627346136544e-06
4.6e-05,5.4514370987874525e-11,-7.591855964208129e-06
