s,x,px
0.0,8.5e-11,-4.4e-07
8.000000000000001e-07,8.362667671656088e-11,-3.4538112365615777e-06
1.6e-06,8.020075084028848e-11,-6.26318221298559e-06
2.0000000000000003e-06,7.491549994834642e-11,-8.736033947805635e-06
2.8000000000000003e-06,6.803472538552688e-11,-1.0804541551057198e-05
3.6000000000000007e-06,5.98479899467349e-11,-1.24608176143282e-05
4.4e-06,5.063464307610784e-11,-1.3738194150585853e-05
4.800000000000001e-06,4.064255514989341e-11,-1.4689712625658163e-05
5.600000000000001e-06,3.008062378250243e-11,-1.5371109256069543e-05
6.4000000000000006e-06,1.912095878416709e-11,-1.5830222664778023e-05
7.200000000000001e-06,7.906558937279937e-12,-1.6101604763553388e-05
7.6e-06,-3.4384422754072384e-12,-1.62042486835981e-05
8.400000000000001e-06,-1.4797502523539837e-11,-1.6140697802569367e-05
9.2e-06,-2.6049940038639704e-11,-1.589653435926922e-05
1e-05,-3.705889183817272e-11,-1.5440035747124077e-05
1.04e-05,-4.7659246671113135e-11,-1.472262730873769e-05
1.12e-05,-5.764661083365931e-11,-1.3681724544185642e-05
1.2e-05,-6.676983076060154e-11,-1.2248512580061578e-05
1.28e-05,-7.473154760423468e-11,-1.0363455848303934e-05
1.32e-05,-8.120271532772043e-11,-8.000374644054501e-06
1.4e-05,-8.58558478854142e-11,-5.194277252740396e-06
1.48e-05,-8.841556217754239e-11,-2.060095976787748e-06
1.56e-05,-8.871418968586416e-11,1.2139721799202987e-06
1.6e-05,-8.673136751765046e-11,4.404909200520588e-06
1.68e-05,-8.259913794666339e-11,7.310646728502349e-06
1.76e-05,-7.657000073357137e-11,9.795255781204577e-06
1.84e-05,-6.896327728111968e-11,1.1804002698438738e-05
1.88e-05,-6.011160372860571e-11,1.3349763723503903e-05
1.96e-05,-5.03226693284348e-11,1.4486020444354609e-05
2.04e-05,-3.986014214047321e-11,1.528102924655978e-05
2.12e-05,-2.8940076954107895e-11,1.5800009169853314e-05
2.16e-05,-1.7736816109376382e-11,1.60955968068829e-05
2.24e-05,-6.393416425576399e-12,1.620399757252213e-05
2.32e-05,4.966403387834032e-12,1.6144106760258796e-05
2.4e-05,1.622616755043611e-11,1.5917743278804353e-05
2.44e-05,2.7264822366509625e-11,1.551012942486687e-05
2.52e-05,3.7945315419036075e-11,1.4890618619348243e-05
2.6e-05,4.810398271416671e-11,1.4014468850635497e-05
2.68e-05,5.7541983457211395e-11,1.282722251579672e-05
2.72e-05,6.602132534540846e-11,1.1273762137206649e-05
2.8e-05,7.326940559041742e-11,9.313666828445718e-06
2.88e-05,7.899641186602343e-11,6.942016121025924e-06
2.96e-05,8.292771303792084e-11,4.209848827757965e-06
3e-05,8.484737838220327e-11,1.2333648738630358e-06
3.08e-05,8.464092480522413e-11,-1.8186885362439272e-06
3.16e-05,8.232096480344259e-11,-4.759957601241742e-06
3.24e-05,7.802428056835141e-11,-7.429682214986349e-06
3.28e-05,7.198168952603051e-11,-9.724011864059057e-06
3.36e-05,6.44739084594819e-11,-1.1603933744888224e-05
3.44e-05,5.578949533888268e-11,-1.3082941260285268e-05
3.52e-05,4.6195284116719156e-11,-1.4205782814021457e-05
3.56e-05,3.592174727499664e-11,-1.5028437740620655e-05
3.64e-05,2.5160446812996655e-11,-1.5604021086319067e-05
3.72e-05,1.4069161174782795e-11,-1.5974790832149543e-05
3.8e-05,2.780997707524887e-12,-1.616842314444475e-05
3.84e-05,-8.584775555074801e-12,-1.6196539364323023e-05
3.92e-05,-1.9911216739246715e-11,-1.605406379602034e-05
4e-05,-3.107182587192693e-11,-1.5718766269847404e-05
4.08e-05,-4.1918425660417496e-11,-1.5151146328880392e-05
4.16e-05,-5.226935893612198e-11,-1.4295708368603217e-05
4.2e-05,-6.189963980946661e-11,-1.3085678347197977e-05
4.28e-05,-7.053643968135736e-11,-1.1453980918919374e-05
4.36e-05,-7.786520495142668e-11,-9.352767863645956e-06
4.44e-05,-8.35522974134402e-11,-6.78026672477356e-06
4.48e-05,-8.728682948716824e-11,-3.8065175527373693e-06
4.56e-05,-8.883570728951325e-11,-5.824111009123968e-07
4.64e-05,-8.809480002996691e-11,2.6817152579410378e-06
4.72e-05,-8.51144876329997e-11,5.7653883690377535e-06
4.76e-05,-8.00870949009607e-11,8.492460178563184e-06
4.84e-05,-7.330247942972838e-11,1.0763867451298795e-05
4.92e-05,-6.5091922675868e-11,1.2558370805879544e-05
5e-05,-5.578033532424416e-11,1.3910758914174992e-05
5.04e-05,-4.565678221122303e-11,1.488398506032102e-05
5.12e-05,-3.4963120695587576e-11,1.5546597801907856e-05
5.2e-05,-2.3895431037590973e-11,1.595889234475622e-05
5.28e-05,-1.2612464955279217e-11,1.6166311954304308e-05
5.32e-05,-1.247020407839481e-12,1.6197238366020455e-05
5.4e-05,1.0081947358962877e-11,1.606278483071895e-05
5.48e-05,2.125733438953302e-11,1.5757193603487793e-05
5.56e-05,3.2152228645099374e-11,1.5258379388397446e-05
5.6e-05,4.2618767011897555e-11,1.4528984354720294e-05
5.68e-05,5.247822629230187e-11,1.3519096199659943e-05
5.76e-05,6.151413151547102e-11,1.2172480903646543e-05
5.83999999999e-05,6.947158458727731e-11,1.043837806050509e-05
5.88e-05,7.606713883665907e-11,8.289675199563025e-06
5.96e-05,8.101299185290715e-11,5.7446279327602215e-06
6.04e-05,8.405537410793877e-11,2.883757031777734e-06
6.12e-05,8.501962411259657e-11,-1.498923910316483e-07
6.16e-05,8.384717603409574e-11,-3.1743129344989286e-06
6.24e-05,8.060903289429805e-11,-6.00966257176811e-06
6.32e-05,7.548950102652085e-11,-8.518367865374412e-06
6.4e-05,6.874766207625173e-11,-1.0626373749144184e-05
6.44e-05,6.06723882110819e-11,-1.2320780896184547e-05
6.52e-05,5.154514927057314e-11,-1.3631965684046002e-05
6.6e-05,4.161731086690173e-11,-1.461193008403052e-05
6.68e-05,3.110148923957547e-11,-1.5316706572097113e-05
6.72e-05,2.0173012053140723e-11,-1.579517981481766e-05
6.8e-05,8.977223269770168e-12,-1.608329270475637e-05
6.88e-05,-2.3604292107078888e-12,-1.6201563395333722e-05
6.96e-05,-1.3723181146002018e-11,-1.61541186452466e-05
7e-05,-2.4991255851061016e-11,-1.592816801539886e-05
7.08e-05,-3.602984628139033e-11,-1.5493631239100482e-05
7.16e-05,-4.6677022185410906e-11,-1.4803463186061871e-05
7.24e-05,-5.6732517694410977e-11,-1.379617325028011e-05
7.28e-05,-6.594975626853292e-11,-1.2403010059706336e-05
7.36e-05,-7.403540084446443e-11,-1.0562647208662389e-05
7.44e-05,-8.066229386654166e-11,-8.244536147107235e-06
7.52e-05,-8.550084961483158e-11,-5.476811176784507e-06
7.56e-05,-8.826829710905189e-11,-2.366612270103855e-06
7.64e-05,-8.878463648308502e-11,9.036194155308598e-07
7.72e-05,-8.701469743577876e-11,4.1118491762340825e-06
7.8e-05,-8.307693331114803e-11,7.051712555190161e-06
7.84e-05,-7.721455170467558e-11,9.579837018604691e-06
7.92e-05,-6.974298444560572e-11,1.1634019543125125e-05
8e-05,-6.09955482273142e-11,1.3221803752080057e-05
8.08e-05,-5.12834038349403e-11,1.439402561999918e-05
8.16e-05,-4.087474503195804e-11,1.521844733304147e-05
8.2e-05,-2.998999322731446e-11,1.5761099270709332e-05
8.28e-05,-1.8807040360923246e-11,1.607604298332511e-05
8.36e-05,-7.471406155757865e-12,1.6201108819754968e-05
8.44e-05,3.891879029951044e-12,1.615683120768005e-05
8.48e-05,1.516616520837085e-11,1.594662876927854e-05
8.56e-05,2.623133035051951e-11,1.555727343211447e-05
8.64e-05,3.695231271243936e-11,1.4959572745379986e-05
8.72e-05,4.7168385216671704e-11,1.4109988564947195e-05
8.76e-05,5.6684309984075285e-11,1.2954684869195491e-05
8.84e-05,6.526577891045878e-11,1.1438051823903046e-05
8.92e-05,7.264295354978862e-11,9.517443123269222e-06
9e-05,7.85264935939358e-11,7.183620188284074e-06
9.04e-05,8.263857121602161e-11,4.4816516043498475e-06
9.12e-05,8.475572458283102e-11,1.521709593079812e-06
9.2e-05,8.475236735416571e-11,-1.531227773541277e-06
9.28e-05,8.262870468422531e-11,-4.4905969863603e-06
9.32e-05,7.851068561013522e-11,-7.191549940005681e-06
9.4e-05,7.262201405481451e-11,-9.524115336558211e-06
9.48e-05,6.524061675653693e-11,-1.1443420211988031e-05
9.56e-05,5.665581355347303e-11,-1.2958842557839599e-05
9.6e-05,4.713734902024168e-11,-1.4113099022558943e-05
9.68e-05,3.691940893970116e-11,-1.496181342086008e-05
9.76e-05,2.619711281043609e-11,-1.5558799917470267e-05
9.84e-05,1.5131091998583063e-11,-1.594755625022783e-05
9.88e-05,3.856344096772172e-12,-1.615722656422428e-05
9.96e-05,-7.50703790273152e-12,-1.6200987608082822e-05
0.0001004,-1.8842396435101235e-11,-1.607536780451775e-05
0.0001012,-3.002465592004511e-11,-1.575977849867528e-05
0.0001016,-4.090821337336818e-11,-1.5216335755262097e-05
0.0001024,-5.131505790341583e-11,-1.4390931515279035e-05
0.0001032,-6.102462284878669e-11,-1.3217510078606225e-05
0.000104,-6.97685654334002e-11,-1.1628328417357253e-05
0.0001044,-7.72356131669721e-11,-9.572642125394958e-06
0.0001052,-8.309243296808527e-11,-7.043088154441516e-06
0.000106,-8.702373009670085e-11,-4.102118524899899e-06
0.0001068,-8.878661255592222e-11,-8.933492161910906e-07
0.0001072,-8.826308100612446e-11,2.376720750084599e-06
0.000108,-8.548879401773061e-11,5.486098084778528e-06
0.0001088,-8.064415248947543e-11,8.252537697958895e-06
0.0001096,-7.401216276443141e-11,1.0569157802011831e-05
0.00011,-6.592247220091927e-11,1.2408048052352211e-05
0.0001108,-5.6702171015878444e-11,1.3799896976600354e-05
0.0001116,-4.6644461332760223e-11,1.4806086510971288e-05
0.0001124,-3.599576848701838e-11,1.549536365420181e-05
0.0001128,-2.4956223148453233e-11,1.5929181758958002e-05
0.0001136,-1.368765215573443e-11,1.615453502403703e-05
0.0001144,-2.3247964559967132e-12,1.6201449388298715e-05
0.0001152,9.0125953372951e-12,1.608266155899273e-05
0.0001155999999999,2.020774984819822e-11,1.579399251180007e-05
0.0001164,3.1135173994983836e-11,1.5314873811356107e-05
0.0001172,4.1649444714226736e-11,1.4609316930325124e-05
0.000118,5.1575126789567407e-11,1.3628403463163251e-05
0.0001184,6.069948073710719e-11,1.2316092808640402e-05
0.0001192,6.877102661452608e-11,1.0620420053970187e-05
0.00012,7.55082278860145e-11,8.511109942524069e-06
0.0001208,8.062224094313793e-11,6.001230431643456e-06
0.0001216,8.385414724563867e-11,3.1650431265287367e-06
0.000122,8.501994322880501e-11,1.4029989503782393e-07
0.0001228,8.404902148117362e-11,-2.893081683434041e-06
0.0001236,8.100034805545279e-11,-5.7531571855656455e-06
0.0001244,7.604889885776763e-11,-8.29705313540721e-06
0.0001248,6.944862028671819e-11,-1.0444455918418072e-05
0.0001256,6.148735471587905e-11,-1.2177284043064508e-05
0.0001264,5.2448489069028556e-11,-1.3522757750878263e-05
0.0001272,4.25868097534256e-11,-1.4531679876943503e-05
0.0001276,3.211866806639243e-11,-1.5260279696936164e-05
