s,x,px
0.0,3.6e-11,-5.2e-06
8.000000000000001e-07,3.1539025575009873e-11,-5.933579106056929e-06
1.6e-06,2.653673943097567e-11,-6.5530429743919e-06
2.4000000000000003e-06,2.1084541366515487e-11,-7.05863924792071e-06
3.2000000000000003e-06,1.527262076575072e-11,-7.45286617961088e-06
4.000000000000001e-06,9.188803141223864e-12,-7.738892034333857e-06
4.800000000000001e-06,2.918555182864485e-12,-7.919257769925628e-06
5.600000000000001e-06,-3.4541113673411817e-12,-7.994933403022309e-06
6.4000000000000006e-06,-9.845129591615526e-12,-7.964747209126023e-06
7.200000000000001e-06,-1.6168562106355262e-11,-7.825195660736135e-06
8.000000000000001e-06,-2.233479301839731e-11,-7.570657562497121e-06
8.8e-06,-2.8249067961564152e-11,-7.194059584576059e-06
9.6e-06,-3.381076635305783e-11,-6.688049775598374e-06
1.04e-05,-3.8913826475579295e-11,-6.046704679144259e-06
1.12e-05,-4.3448731078066476e-11,-5.267699771701192e-06
1.2e-05,-4.730634153736917e-11,-4.3547029018714845e-06
1.28e-05,-5.038359126921166e-11,-3.31953556868491e-06
1.36e-05,-5.2590608905128716e-11,-2.1834740119801977e-06
1.44e-05,-5.3858323383160506e-11,-9.77062213872576e-07
1.52e-05,-5.4145192441611055e-11,2.619118941837505e-07
1.6e-05,-5.344161889758211e-11,1.4920900890867046e-06
1.68e-05,-5.1771010323202556e-11,2.673092127245091e-06
1.76e-05,-4.9187220445562024e-11,3.769820603223559e-06
1.84e-05,-4.576899689820385e-11,4.755501677971709e-06
1.92e-05,-4.161270248073451e-11,5.612921865016556e-06
2e-05,-3.6824766180739416e-11,6.333921899485142e-06
2.08e-05,-3.1515077328580644e-11,6.917650777433876e-06
2.16e-05,-2.5792052530471164e-11,7.3682375930783416e-06
2.24e-05,-1.9759602367112144e-11,7.69244934696755e-06
2.32e-05,-1.35158490437793e-11,7.897698003991326e-06
2.4e-05,-7.153239675887956e-12,7.990557081961905e-06
2.48e-05,-7.596325500052437e-13,7.975808505705762e-06
2.56e-05,5.580051972768465e-12,7.85597440678857e-06
2.64e-05,1.1781980889613652e-11,7.631277881789658e-06
2.72e-05,1.7761684818890015e-11,7.2999951624854825e-06
2.8e-05,2.3432767126917467e-11,6.859184463475098e-06
2.88e-05,2.8706344395305782e-11,6.305783054602921e-06
2.96e-05,3.3491501814401764e-11,5.63803714156101e-06
3.04e-05,3.769699378428221e-11,4.857159425784732e-06
3.12e-05,4.1234294914033614e-11,3.96900213696878e-06
3.2e-05,4.4021889914053956e-11,2.9854187772659625e-06
3.28e-05,4.5990397829809545e-11,1.9249227444653636e-06
3.36e-05,4.7087823558267613e-11,8.123026389877155e-07
3.44e-05,4.7284029571224154e-11,-3.229402204253178e-07
3.52e-05,4.6573537692114885e-11,-1.4491436397034662e-06
3.6e-05,4.4976054898116565e-11,-2.5355172300695894e-06
3.68e-05,4.253460554903449e-11,-3.554979118742693e-06
3.76e-05,3.93116823079038e-11,-4.486189384102422e-06
3.84e-05,3.5384215111338105e-11,-5.31444414678452e-06
3.92e-05,3.0838289743968454e-11,-6.0314342946382915e-06
4e-05,2.576442938057007e-11,-6.634139006657274e-06
4.08e-05,2.0253978953593265e-11,-7.1232413552845396e-06
4.16e-05,1.4396823696992418e-11,-7.501430974517418e-06
4.24e-05,8.280418867561442e-12,-7.771857340547082e-06
4.32e-05,1.9899438821667358e-12,-7.936881551723302e-06
4.4e-05,-4.390686445496624e-12,-7.99718674922978e-06
4.48e-05,-1.0777248150471999e-11,-7.951262412345418e-06
4.56e-05,-1.708337390619293e-11,-7.795271434088994e-06
4.64e-05,-2.321877371961795e-11,-7.523326895458199e-06
4.72e-05,-2.908785706517682e-11,-7.12822859977723e-06
4.8e-05,-3.458914715308398e-11,-6.602714581334965e-06
4.88e-05,-3.961591039704423e-11,-5.941243713810075e-06
4.96e-05,-4.405839936284227e-11,-5.142218721134624e-06
5.04e-05,-4.7807967342058354e-11,-4.210379222867618e-06
5.12e-05,-5.076301011631832e-11,-3.15887888966169e-06
5.2e-05,-5.283623100708787e-11,-2.0104046084688514e-06
5.28e-05,-5.396220904589771e-11,-7.967318319629639e-07
5.36e-05,-5.410387468061104e-11,4.43567290230017e-07
5.44e-05,-5.325648454010751e-11,1.6689863432293593e-06
5.52e-05,-5.1448145967328256e-11,2.839670050175352e-06
5.6e-05,-4.873676157223181e-11,3.92158965258221e-06
5.68e-05,-4.520413507009459e-11,4.889338724099218e-06
5.76e-05,-4.094856365499324e-11,5.727097602419525e-06
5.83999999999e-05,-3.6077361299697296e-11,6.4279073037083565e-06
5.92e-05,-3.070046495140099e-11,6.991797199506459e-06
6e-05,-2.4925776222228213e-11,7.423423570293527e-06
6.08e-05,-1.8856400518129395e-11,7.729761146836446e-06
6.16e-05,-1.2589594118606203e-11,7.918178929439002e-06
6.24e-05,-6.21704660309033e-12,7.995035459262202e-06
6.32e-05,1.7392562759264632e-13,7.964800250825684e-06
6.4e-05,6.49867748963571e-12,7.829651649367136e-06
6.48e-05,1.267338351836568e-11,7.589496636946794e-06
6.56e-05,1.8613358641074682e-11,7.242378649397992e-06
6.64e-05,2.423185587309352e-11,6.78526107243118e-06
6.72e-05,2.943963834096954e-11,6.215176426477391e-06
6.8e-05,3.414560464293382e-11,5.5306983717835965e-06
6.88e-05,3.825868471777359e-11,4.733617660681646e-06
6.96e-05,4.1691085540762805e-11,3.830592440982221e-06
7.04e-05,4.436273602297642e-11,2.8344318955178104e-06
7.12e-05,4.620648057267316e-11,1.764620194201629e-06
7.2e-05,4.717327557399366e-11,6.467609465248213e-07
7.28e-05,4.72364683918956e-11,-4.891503125166945e-07
7.36e-05,4.6394293791255096e-11,-1.6113864827053769e-06
7.44e-05,4.467004352340627e-11,-2.68953627464525e-06
7.52e-05,4.210987111450241e-11,-3.697256533053298e-06
7.6e-05,3.8778713564514573e-11,-4.614151747478346e-06
7.68e-05,3.475516580524568e-11,-5.426493933164318e-06
7.76e-05,3.012623627174572e-11,-6.126833227235731e-06
7.84e-05,2.4982763687609833e-11,-6.71279645327566e-06
7.92e-05,1.9415989277986324e-11,-7.185465267226313e-06
8e-05,1.351547367485971e-11,-7.547687278547536e-06
8.08e-05,7.368305662972963e-12,-7.802566324108335e-06
8.16e-05,1.0593995816245243e-12,-7.952264556890597e-06
8.24e-05,-5.3273924235109244e-12,-7.997167178492803e-06
8.32e-05,-1.1707649476694362e-11,-7.935421976955314e-06
8.4e-05,-1.7994535566218336e-11,-7.76286410706851e-06
8.48e-05,-2.4097056379133345e-11,-7.473356607326148e-06
8.56e-05,-2.9918771922879865e-11,-7.059599196358812e-06
8.64e-05,-3.5357361970399054e-11,-6.514458245192738e-06
8.72e-05,-4.030546865419901e-11,-5.8328230707113005e-06
8.8e-05,-4.46532025921838e-11,-5.013875801604831e-06
8.88e-05,-4.829253721851133e-11,-4.063473521342175e-06
8.96e-05,-5.11234882247801e-11,-2.9961271930494e-06
9.04e-05,-5.306149837733637e-11,-1.8359253777564831e-06
9.12e-05,-5.4044938191572e-11,-6.158253938114707e-07
9.2e-05,-5.4041297777154836e-11,6.249007372591463e-07
9.28e-05,-5.305069905836349e-11,1.8446987947071012e-06
9.36e-05,-5.1105882284855444e-11,3.0043297543171515e-06
9.44e-05,-4.826867017139737e-11,4.070894240163356e-06
9.52e-05,-4.4623761102966515e-11,5.020373614266503e-06
9.6e-05,-4.027122434006646e-11,5.83832544896747e-06
9.68e-05,-3.5319120651647565e-11,6.518949703476016e-06
9.76e-05,-2.987733450209966e-11,7.063104537578954e-06
9.84e-05,-2.4053193701664826e-11,7.475923361944345e-06
9.92e-05,-1.7948976594181493e-11,7.76454717316074e-06
0.0001,-1.1661080345436826e-11,7.936271901784184e-06
0.0001008,-5.280463291040356e-12,7.997222378910601e-06
0.0001016,1.1060629497405281e-12,7.951547189600814e-06
0.0001024,7.41408831993728e-12,7.801081376738366e-06
0.0001032,1.3559758368906758e-11,7.5454245665551625e-06
0.000104,1.9458146038859762e-11,7.182404202568458e-06
0.0001048,2.502214432255529e-11,6.708913539239454e-06
0.0001056,3.016217589855676e-11,6.122112099412707e-06
0.0001064,3.478699325032703e-11,5.4209373227324266e-06
0.0001072,3.88057716732495e-11,4.607793996892855e-06
0.000108,4.213154657402991e-11,3.6901744205866125e-06
0.0001088,4.46858037223132e-11,2.6818552864595796e-06
0.0001096,4.6403725943052274e-11,1.6032798173838083e-06
0.0001104,4.723931440854553e-11,4.808291790045879e-07
0.0001112,4.716945588699825e-11,-6.55064900213033e-07
0.000112,4.6196101789653914e-11,-1.7726769890922271e-06
0.0001128,4.4346080702736995e-11,-2.8420349517175825e-06
0.0001136,4.166858637194512e-11,-3.83757515019568e-06
0.0001144,3.8230888584038835e-11,-4.739861804030823e-06
0.0001152,3.411313345337514e-11,-5.536133917670499e-06
0.000116,2.940315295549496e-11,-6.219774407302757e-06
0.0001167999999999,2.419202757255761e-11,-6.789022342409397e-06
0.0001176,1.8570850285578684e-11,-7.245321329857245e-06
0.0001184,1.2628840538014493e-11,-7.591644369413847e-06
0.0001192,6.452727507290509e-12,-7.831023902665695e-06
0.00012,1.2718481766307016e-13,-7.965405220494762e-06
0.0001208,-6.26396256616631e-12,-7.994865701650827e-06
0.0001216,-1.2636056726893877e-11,-7.917209777871456e-06
0.0001224,-1.8901754989129253e-11,-7.727952068119292e-06
0.0001232,-2.496933042728484e-11,-7.420722801597164e-06
0.000124,-3.07414835106026e-11,-6.988150094805315e-06
