s,x,px
0.0,-8.5e-11,4.4e-07
8.000000000000001e-07,-8.367574774634588e-11,3.3146618789226232e-06
1.6e-06,-8.039417445618974e-11,5.9927383540616244e-06
2.0000000000000003e-06,-7.53411474508465e-11,8.346888907046643e-06
2.8000000000000003e-06,-6.877120106166778e-11,1.030985528019472e-05
3.6000000000000007e-06,-6.096545244259239e-11,1.1871116703525433e-05
4.4e-06,-5.219723012813007e-11,1.3060045873452615e-05
4.800000000000001e-06,-4.2711123164590165e-11,1.3926060582507862e-05
5.600000000000001e-06,-3.2714860747371096e-11,1.4522612519900263e-05
6.4000000000000006e-06,-2.23803735304401e-11,1.4897052624904734e-05
7.200000000000001e-06,-1.185012659620548e-11,1.5085464797215055e-05
7.6e-06,-1.24586357108373e-12,1.5110658640725113e-05
8.400000000000001e-06,9.321874311002603e-12,1.4981754671052327e-05
9.2e-06,1.9744199117459536e-11,1.4694408820804509e-05
1e-05,2.9904596779572625e-11,1.423135128573246e-05
1.04e-05,3.96701915632058e-11,1.3563483370492594e-05
1.12e-05,4.888418605320657e-11,1.2652299212175258e-05
1.2e-05,5.73608050288192e-11,1.1454820552956707e-05
1.28e-05,6.488495981019323e-11,9.932291188340949e-06
1.32e-05,7.121950649558006e-11,8.063059111597975e-06
1.4e-05,7.61225849716338e-11,5.8578685639335e-06
1.48e-05,7.937514719352498e-11,3.372489607108917e-06
1.56e-05,8.081425750952181e-11,7.102924093701363e-07
1.6e-05,8.036290946198249e-11,-1.9906902274205485e-06
1.68e-05,7.804559237459653e-11,-4.584348747600868e-06
1.76e-05,7.398323903777302e-11,-6.946507477084293e-06
1.84e-05,6.836967287729306e-11,-8.995843481458363e-06
1.88e-05,6.143876024111862e-11,-1.0699124032663892e-05
1.96e-05,5.343296766847455e-11,-1.2062914404360204e-05
2.04e-05,4.458044839470572e-11,-1.311884112195163e-05
2.12e-05,3.5082714245134683e-11,-1.3909027169963582e-05
2.16e-05,2.5111360459719394e-11,-1.447515137138271e-05
2.24e-05,1.481097826641497e-11,-1.4851674084868506e-05
2.32e-05,4.3056228909215264e-12,-1.5062263350446065e-05
2.4e-05,-6.292951328665783e-12,-1.5118129989544309e-05
2.44e-05,-1.687624840971878e-11,-1.5017260796612281e-05
2.52e-05,-2.7329596538611315e-11,-1.4744025979491888e-05
2.6e-05,-3.752255891373271e-11,-1.4269181135461783e-05
2.68e-05,-4.729964609132718e-11,-1.3550880573599927e-05
2.72e-05,-5.647244440827896e-11,-1.2537961707563009e-05
2.8e-05,-6.481535598734587e-11,-1.1177266392212014e-05
2.88e-05,-7.206838595445283e-11,-9.42658351306071e-06
2.96e-05,-7.795101883866958e-11,-7.273009113673542e-06
3e-05,-8.218980274414535e-11,-4.75252726553907e-06
3.08e-05,-8.455756816359742e-11,-1.961780184300242e-06
3.16e-05,-8.491505621878557e-11,9.482532117077647e-07
3.24e-05,-8.324041956116674e-11,3.800042208414229e-06
3.28e-05,-7.963412200538649e-11,6.429216014217177e-06
3.36e-05,-7.429701581836984e-11,8.718256050232417e-06
3.44e-05,-6.749121126194627e-11,1.061055681278447e-05
3.52e-05,-5.949859452193774e-11,1.2103975149751076e-05
3.56e-05,-5.058859575074913e-11,1.3232757845764941e-05
3.64e-05,-4.099964898624042e-11,1.404801633995083e-05
3.72e-05,-3.0932970661989573e-11,1.460270691437922e-05
3.8e-05,-2.055480066797305e-11,1.4942475119440712e-05
3.84e-05,-1.0003325040362964e-11,1.5101172959456075e-05
3.92e-05,6.023577362886335e-13,1.5099226508395482e-05
4e-05,1.1152677080465333e-11,1.4943382770691591e-05
4.08e-05,2.1538072535482674e-11,1.4626995650588977e-05
4.16e-05,3.163978411625182e-11,1.413062926821831e-05
4.2e-05,4.132126063362777e-11,1.3423316648336319e-05
4.28e-05,5.0420916655042276e-11,1.2465325517128686e-05
4.36e-05,5.874771489833273e-11,1.121366717813831e-05
4.44e-05,6.608193964828199e-11,9.631532832886298e-06
4.48e-05,7.218407052304866e-11,7.70180877704954e-06
4.56e-05,7.681399401260655e-11,5.442364788327124e-06
4.64e-05,7.976000586650963e-11,2.9174803760697692e-06
4.72e-05,8.08722777813214e-11,2.3796190782402124e-07
4.76e-05,8.009092054573669e-11,-2.454571762410727e-06
4.84e-05,7.74582018135099e-11,-5.015784955408608e-06
4.92e-05,7.310986425279294e-11,-7.32787616155121e-06
5e-05,6.724916515315394e-11,-9.317982318628118e-06
5.04e-05,6.011355572213214e-11,-1.0960689036327237e-05
5.12e-05,5.194435819363321e-11,-1.2268057199430263e-05
5.2e-05,4.2965680226626164e-11,-1.3274514656281486e-05
5.28e-05,3.337384046096449e-11,-1.4022771674176816e-05
5.32e-05,2.333538623737255e-11,-1.4553629263318769e-05
5.4e-05,1.2990795012163974e-11,-1.4899853524377561e-05
5.48e-05,2.461353376273652e-12,-1.5083024512790624e-05
5.56e-05,-8.142417692866803e-12,-1.5112088208823284e-05
5.6e-05,-1.8711632015497834e-11,-1.4982677827258416e-05
5.68e-05,-2.912955911226653e-11,-1.4676772609841545e-05
5.76e-05,-3.926204206234646e-11,-1.4162813900435395e-05
5.83999999999e-05,-4.894835100507164e-11,-1.3397005843744367e-05
5.88e-05,-5.7993747639282384e-11,-1.2327168380839171e-05
5.96e-05,-6.61661749790962e-11,-1.090094871212095e-05
6.04e-05,-7.320069208583577e-11,-9.079807338493832e-06
6.12e-05,-7.881563854718628e-11,-6.858035394314102e-06
6.16e-05,-8.274258089656521e-11,-4.281737418290111e-06
6.24e-05,-8.476682259261574e-11,-1.4581114870928152e-06
6.32e-05,-8.476802545832463e-11,1.4547012164216411e-06
6.4e-05,-8.274611591797132e-11,4.2785327139608566e-06
6.44e-05,-7.882130151890963e-11,6.855196667970105e-06
6.52e-05,-7.320819023708785e-11,9.077424640092843e-06
6.6e-05,-6.617517743208398e-11,1.089904263409961e-05
6.68e-05,-5.8003928210390254e-11,1.2325708877938211e-05
6.72e-05,-4.895941532997435e-11,1.3395936103946879e-05
6.8e-05,-3.927373901280627e-11,1.4162070264584176e-05
6.88e-05,-2.914168065877733e-11,1.467629748421442e-05
6.96e-05,-1.872400630542731e-11,1.4982426420141776e-05
7e-05,-8.154898944699485e-12,1.5112031237378968e-05
7.08e-05,2.4488960538114988e-12,1.5083148831411916e-05
7.16e-05,1.2978488897191817e-11,1.4900161912074688e-05
7.24e-05,2.3323365990279605e-11,1.4554139856003157e-05
7.28e-05,3.3362258559517994e-11,1.402351685020082e-05
7.36e-05,4.2954716205692424e-11,1.3275538558442116e-05
7.44e-05,5.193422528345191e-11,1.2269410540123834e-05
7.52e-05,6.010450242908868e-11,1.0962419642787732e-05
7.56e-05,6.724146842520474e-11,9.320120606309122e-06
7.64e-05,7.31038110137519e-11,7.330417056408648e-06
7.72e-05,7.745405801843911e-11,5.01867165290623e-06
7.8e-05,8.008889199484342e-11,2.4576900333527663e-06
7.84e-05,8.087247299963981e-11,-2.347713576121837e-07
7.92e-05,7.976241417665275e-11,-2.914391981237022e-06
8e-05,7.681848776359763e-11,-5.439531733719242e-06
8.08e-05,7.219043052741389e-11,-7.699335605625476e-06
8.16e-05,6.608989360546117e-11,-9.629466501402764e-06
8.2e-05,5.875697572844701e-11,-1.1212005251951731e-05
8.28e-05,5.0431211399282546e-11,-1.2464033298648433e-05
8.36e-05,4.133234672802294e-11,-1.3422344903023344e-05
8.44e-05,3.165145450138454e-11,-1.4129927886655709e-05
8.48e-05,2.155015297053692e-11,-1.4626522264165695e-05
8.56e-05,1.1165018905761359e-11,-1.4943107359212114e-05
8.64e-05,6.148283504933323e-13,-1.5099133555827473e-05
8.72e-05,-9.990852743082927e-12,-1.5101262431347073e-05
8.76e-05,-2.0542459359280014e-11,-1.4942762973166465e-05
8.84e-05,-3.092090987705247e-11,-1.460322522034337e-05
8.92e-05,-4.098804621275782e-11,-1.4048812401919044e-05
9e-05,-5.057766617074902e-11,-1.323389094820432e-05
9.04e-05,-5.948859705299086e-11,-1.2105508888193605e-05
9.12e-05,-6.74824470393476e-11,-1.0612544946991157e-05
9.2e-05,-7.428981427507614e-11,-8.720721522787356e-06
9.28e-05,-7.962881082691321e-11,-6.432127141061128e-06
9.32e-05,-8.323727971123892e-11,-3.803296045976136e-06
9.4e-05,-8.491427162896004e-11,-9.516789222200646e-07
9.48e-05,-8.455918702510128e-11,1.9583917210218294e-06
9.56e-05,-8.219372661956625e-11,4.749376634897434e-06
9.6e-05,-7.795702457378488e-11,7.2702455198431806e-06
9.68e-05,-7.207617054719518e-11,9.424284163930528e-06
9.76e-05,-6.482458668825352e-11,1.1175441395360602e-05
9.84e-05,-5.6482799106296103e-11,1.2536574663328088e-05
9.88e-05,-4.73108375287384e-11,1.3549872229888856e-05
9.96e-05,-3.753434373519441e-11,1.426848815908984e-05
0.0001004,-2.7341773647810344e-11,1.4743592666529063e-05
0.0001012,-1.68886512768359e-11,1.5017044944756433e-05
0.0001016,-6.305437583713343e-12,1.5118105119592093e-05
0.0001024,4.293182702420402e-12,1.5062419120933271e-05
0.0001032,1.4798711929667246e-11,1.4852016002588993e-05
0.000104,2.509940501282167e-11,1.447570016027042e-05
0.0001044,3.5071226268179624e-11,1.390981749461404e-05
0.0001052,4.456961292446893e-11,1.311991874550053e-05
0.000106,5.342300416263787e-11,1.206433035730283e-05
0.0001068,6.142992294935869e-11,1.0700924290194127e-05
0.0001072,6.836224217844162e-11,8.998053614053966e-06
0.000108,7.39775007489349e-11,6.949114385354781e-06
0.0001088,7.804180488769287e-11,4.587285585071512e-06
0.0001096,8.036126402666443e-11,1.993833454395922e-06
0.00011,8.081484283405815e-11,-7.071072570919238e-07
0.0001108,7.937793131608851e-11,-3.3694358158774227e-06
0.0001116,7.61274219161681e-11,-5.855092351617607e-06
0.0001124,7.122616488994606e-11,-8.060655067892805e-06
0.0001128,6.489316219738026e-11,-9.93029669405988e-06
0.0001136,5.737026505864797e-11,-1.1453226207198969e-05
0.0001144,4.889463524614812e-11,-1.2651066585391998e-05
0.0001152,3.9681393444092154e-11,-1.3562562237944518e-05
0.0001155999999999,2.9916350369935285e-11,-1.4230692399841571e-05
0.0001164,1.9756335244957113e-11,-1.4693971723150781e-05
0.0001172,9.334247841604585e-12,-1.49815117619313e-05
0.000118,-1.2333835019574243e-12,-1.5110597051937745e-05
0.0001184,-1.1837667258864578e-11,-1.5085587254169606e-05
0.0001192,-2.2368069721314396e-11,-1.4897377901902105e-05
0.00012,-3.2702866095008454e-11,-1.4523175451544831e-05
0.0001208,-4.269962109356437e-11,-1.3926910890937604e-05
0.0001216,-5.218644316624439e-11,-1.3061244306332183e-05
0.000122,-6.095564726316678e-11,-1.1872726364531847e-05
0.0001228,-6.876268515826893e-11,-1.0311926229919487e-05
0.0001236,-7.533425259084504e-11,-8.349436236130666e-06
0.0001244,-8.038922374188615e-11,-5.995718746254412e-06
0.0001248,-8.367300876047511e-11,-3.3179595803799474e-06
0.0001256,-8.49996351796795e-11,-4.434346701934241e-07
0.0001264,-8.428893558686868e-11,2.4583924630574927e-06
0.0001272,-8.158423100605691e-11,5.211867771852474e-06
0.0001276,-7.704265229698044e-11,7.673987373034857e-06
0.0001284,-7.09024670635957e-11,9.75877343326789e-06
0.0001292,-6.34409085208832e-11,1.1439911972550013e-05
0.00013,-5.493652063278952e-11,1.2736841195536524e-05
0.0001304,-4.564397538053119e-11,1.369485674324654e-05
0.0001312,-3.578238162679077e-11,1.436752742773385e-05
0.000132,-2.5534007746586694e-11,1.480478922439867e-05
0.0001328,-1.504938025460394e-11,1.5046456440542714e-05
0.0001332,-4.455522994634504e-12,1.5119447423089277e-05
0.000134,6.134647453409768e-12,1.5037018547956203e-05
0.0001348,1.661273831406524e-11,1.4798857171078701e-05
0.0001356,2.686549719743694e-11,1.4391524702667123e-05
0.000136,3.676586886494173e-11,1.3789326788344584e-05
0.0001368,4.616497708938728e-11,1.295622444392859e-05
0.0001376,5.488611852540232e-11,1.1849868031773496e-05
0.0001384,6.272271420837789e-11,1.0429047865441897e-05
0.0001388,6.944295897290057e-11,8.665366295945682e-06
0.0001396,7.480394349751732e-11,6.558177009557399e-06
0.0001404,7.857632597891378e-11,4.148747181110578e-06
0.0001412,8.057666953809981e-11,1.526651904906799e-06
0.0001416,8.069948474577232e-11,-1.1782483325886477e-06
0.0001424,7.893809859004636e-11,-3.8190187397097286e-06
