s,x,px
0.0,-9.1e-11,0.0
8.000000000000001e-07,-8.96881332988082e-11,3.5842368773883174e-06
1.6e-06,-8.585336444746328e-11,6.897926257126155e-06
2.0000000000000003e-06,-7.976996732238231e-11,9.744278350745399e-06
2.8000000000000003e-06,-7.181659359666082e-11,1.2034536089145564e-05
3.6000000000000007e-06,-6.239985691762513e-11,1.377571609814499e-05
4.4e-06,-5.1897538337388163e-11,1.503340317610498e-05
5.200000000000001e-06,-4.0630102385855606e-11,1.589429911574112e-05
6e-06,-2.8855429393351406e-11,1.644071551587572e-05
6.4000000000000006e-06,-1.6777366537363688e-11,1.673760536416836e-05
7.200000000000001e-06,-4.560404392201298e-12,1.6827901434318778e-05
8.000000000000001e-06,7.653923419960972e-12,1.673184010263378e-05
8.8e-06,1.9730707299448426e-11,1.644750555685849e-05
9.6e-06,3.152578020031201e-11,1.5951459489288195e-05
1e-05,4.287036210140745e-11,1.5199707458259404e-05
1.08e-05,5.3556960609979375e-11,1.4130553789610925e-05
1.16e-05,6.332885517430349e-11,1.2672153553704943e-05
1.24e-05,7.18778359861323e-11,1.0758185187739705e-05
1.32e-05,7.885695902799747e-11,8.353406801741735e-06
1.4e-05,8.391448171180964e-11,5.4848957635313215e-06
1.44e-05,8.674868606280467e-11,2.2652376528346757e-06
1.52e-05,8.717071973138204e-11,-1.1115042442166825e-06
1.6e-05,8.515114936850561e-11,-4.4102463271510105e-06
1.68e-05,8.082770813075951e-11,-7.416623643424927e-06
1.76e-05,7.447018044295615e-11,-9.987758107668326e-06
1.8e-05,6.642012351965155e-11,-1.2068830655907573e-05
1.88e-05,5.703111992978256e-11,-1.3677176547293162e-05
1.96e-05,4.662709487692508e-11,-1.4871784192623739e-05
2.04e-05,3.548280394449133e-11,-1.572486711629191e-05
2.12e-05,2.3821756993522414e-11,-1.630279884340591e-05
2.2e-05,1.1824553023374401e-11,-1.665614312114281e-05
2.24e-05,-3.578815368642e-13,-1.6815557944499278e-05
2.32e-05,-1.2589225296268159e-11,-1.679042182703569e-05
2.4e-05,-2.4732039298596817e-11,-1.6568182280302202e-05
2.48e-05,-3.663158249682648e-11,-1.6113728476464454e-05
2.56e-05,-4.8099329236029074e-11,-1.5369424062449057e-05
2.6e-05,-5.88973607532728e-11,-1.4257979467861043e-05
2.68e-05,-6.872700809239634e-11,-1.2692021644941542e-05
2.76e-05,-7.722832480740884e-11,-1.0594979262972072e-05
2.84e-05,-8.399962207683663e-11,-7.935090950213977e-06
2.91999999999e-05,-8.86446241817872e-11,-4.764981089316374e-06
3e-05,-9.084431443365674e-11,-1.2456162645415972e-06
3.04e-05,-9.043243280529039e-11,2.370881726521535e-06
3.12e-05,-8.744089832260672e-11,5.8046294180814186e-06
3.2e-05,-8.209077033805399e-11,8.82710998855621e-06
3.28e-05,-7.473381351237522e-11,1.1311764126124868e-05
3.36e-05,-6.577479804631396e-11,1.3236241922201107e-05
3.4e-05,-5.5606035408930915e-11,1.4650621110899887e-05
3.48e-05,-4.456925240848445e-11,1.563792670456046e-05
3.56e-05,-3.294336780881218e-11,1.628400430651046e-05
3.64e-05,-2.0949318973963337e-11,1.6660612523076137e-05
3.72e-05,-8.763294935632743e-12,1.6818450130375974e-05
3.8e-05,3.4671469116211602e-12,1.678551109228718e-05
3.84e-05,1.560663544584918e-11,1.6567414338005643e-05
3.92e-05,2.7515946076097875e-11,1.614804186510908e-05
4e-05,3.9036435080186105e-11,1.5490280497880188e-05
4.08e-05,4.997534636283101e-11,1.4537971326461771e-05
4.16e-05,6.009366622938893e-11,1.3221466579762906e-05
4.2e-05,6.910034466366024e-11,1.1470157685170343e-05
4.28e-05,7.665907408123099e-11,9.234704265390323e-06
4.36e-05,8.241450616437014e-11,6.517363660844333e-06
4.44e-05,8.604063073865407e-11,3.4000545717495762e-06
4.52e-05,8.730318666122776e-11,5.1625756787502946e-08
4.6e-05,8.611482773470138e-11,-3.3004394433246154e-06
4.64e-05,8.255785249456468e-11,-6.427686622809191e-06
4.72e-05,7.68627562587208e-11,-9.158871281864434e-06
4.8e-05,6.935370440959919e-11,-1.1409377834734762e-05
4.88e-05,6.038597160365265e-11,-1.317488301011458e-05
4.96e-05,5.0296945581780027e-11,-1.4503628580927546e-05
5e-05,3.937923711198973e-11,-1.546595556679176e-05
5.08e-05,2.7873405355095445e-11,-1.613177037780943e-05
5.16e-05,1.597345603292436e-11,-1.655775113556699e-05
5.24e-05,3.838861750453861e-12,-1.6781630812837594e-05
5.32e-05,-8.390788703932225e-12,-1.68201797950327e-05
5.4e-05,-2.058024127881358e-11,-1.666845022433394e-05
5.44e-05,-3.258255104441259e-11,-1.629913851120805e-05
5.52e-05,-4.422264440962526e-11,-1.566222966165427e-05
