s,x,px
0.0,-3.6e-11,5.2e-06
8.000000000000001e-07,-3.169341285641977e-11,5.763922437320503e-06
1.6e-06,-2.6986545464331986e-11,6.220869647689951e-06
2.4000000000000003e-06,-2.1962612473180433e-11,6.57296220176773e-06
3.2000000000000003e-06,-1.6702466584279116e-11,6.8238976185302075e-06
4.000000000000001e-06,-1.128381404676087e-11,6.97783754173484e-06
4.800000000000001e-06,-5.7811996400103104e-12,7.038566330889358e-06
5.600000000000001e-06,-2.665362559276925e-13,7.008944101521966e-06
6.4000000000000006e-06,5.1900495467644756e-12,6.890645017219458e-06
7.200000000000001e-06,1.051927213641035e-11,6.684160938988035e-06
8.000000000000001e-06,1.5651841985536934e-11,6.38905137024995e-06
8.8e-06,2.0517907973971057e-11,6.0044227557138354e-06
9.6e-06,2.5046958697216048e-11,5.529614820817317e-06
1e-05,2.916833071119274e-11,4.965052596804307e-06
1.08e-05,3.2812426600495474e-11,4.313188196930383e-06
1.16e-05,3.591266883352746e-11,3.579411215744901e-06
1.24e-05,3.840810302801951e-11,2.7727645470076527e-06
1.32e-05,4.024642699494375e-11,1.9062849197067532e-06
1.4e-05,4.138708810429144e-11,9.96816896477351e-07
1.48e-05,4.18040034003801e-11,6.423629889517172e-08
1.56e-05,4.1487456503390664e-11,-8.698490341924674e-07
1.64e-05,4.044483374788505e-11,-1.7837160208174065e-06
1.72e-05,3.870006311453741e-11,-2.657164701096905e-06
1.8e-05,3.6291860218364656e-11,-3.472875895223163e-06
1.88e-05,3.327109595797399e-11,-4.217266703743326e-06
1.96e-05,2.969772343167472e-11,-4.8807563084650535e-06
2.04e-05,2.5637715721870143e-11,-5.457490030800058e-06
2.12e-05,2.1160387820162985e-11,-5.94466436135321e-06
2.2e-05,1.6336345720045332e-11,-6.341632827961694e-06
2.28e-05,1.1236166844124701e-11,-6.648960297523653e-06
2.36e-05,5.92979921099294e-12,-6.867553209810927e-06
2.44e-05,4.865849290434704e-13,-6.997947457316122e-06
2.52e-05,-5.024235262548894e-12,-7.039799115510306e-06
2.6e-05,-1.0532705796234712e-11,-6.991602042118338e-06
2.68e-05,-1.59672131376751e-11,-6.850649409143933e-06
2.76e-05,-2.12536141148833e-11,-6.613257797804899e-06
2.84e-05,-2.6314649676267855e-11,-6.2752740809714425e-06
2.91999999999e-05,-3.1069871576459085e-11,-5.8328768255712684e-06
3e-05,-3.5436309026737164e-11,-5.28365517069313e-06
3.04e-05,-3.933006887185812e-11,-4.627892112499693e-06
3.12e-05,-4.2668974996910405e-11,-3.869897961250382e-06
3.2e-05,-4.537619655538357e-11,-3.019151462470256e-06
