s,x,px
0.0,0.0,-1.2e-05
1.6e-06,-1.9945193493406915e-11,-1.1814294221612262e-05
3.2000000000000003e-06,-3.89343866246513e-11,-1.0819113128222392e-05
4.800000000000001e-06,-5.54123360445006e-11,-8.750791681860021e-06
6.800000000000001e-06,-6.737520002059558e-11,-5.38664194942104e-06
8.400000000000001e-06,-7.275215740686987e-11,-9.402640131089982e-07
1e-05,-7.038533751678719e-11,3.7227825229016946e-06
1.16e-05,-6.080401392128784e-11,7.578134373195512e-06
1.32e-05,-4.585199453952939e-11,1.0146424683911011e-05
1.48e-05,-2.764399586140099e-11,1.1529830908228572e-05
1.68e-05,-7.917630627482789e-12,1.2012074449965488e-05
1.84e-05,1.1999337377021266e-11,1.1773313749074593e-05
2e-05,3.092501445982602e-11,1.0805604504293028e-05
2.16e-05,4.752103634274918e-11,8.941760841999056e-06
2.32e-05,6.012626103930285e-11,5.998135168461396e-06
2.52e-05,6.695284442909325e-11,2.0614662672002354e-06
2.68e-05,6.676627667509497e-11,-2.2813738413058024e-06
2.84e-05,5.960323160644505e-11,-6.176848025490568e-06
3e-05,4.67475667133068e-11,-9.063201751978945e-06
3.16e-05,2.999363345688411e-11,-1.0875523207974723e-05
3.32e-05,1.0986568408749862e-11,-1.1802584015588478e-05
3.48e-05,-8.94937543314357e-12,-1.2005626494659493e-05
3.68e-05,-2.8632567676517294e-11,-1.1482829274991283e-05
3.84e-05,-4.671939127833889e-11,-1.0045334202555895e-05
4e-05,-6.144786839431581e-11,-7.409759199539594e-06
4.16e-05,-7.069539738722123e-11,-3.494856857164741e-06
4.32e-05,-7.266088860099521e-11,1.1843062242741943e-06
4.52e-05,-6.690360852694058e-11,5.5911974094175374e-06
4.68e-05,-5.46545966944358e-11,8.888225027422486e-06
4.84e-05,-3.800163698358112e-11,1.0894027858525661e-05
5e-05,-1.8928976764415883e-11,1.184192842833017e-05
5.16e-05,1.0305770428721616e-12,1.1990498242176843e-05
5.32e-05,2.0653561798925918e-11,1.1438106716564355e-05
5.52e-05,3.8721680447477663e-11,1.009653581563875e-05
5.68e-05,5.375722577126628e-11,7.764575026567102e-06
5.83999999999e-05,6.39878959844317e-11,4.338339534579319e-06
6e-05,6.776807819910963e-11,1.1958777529218775e-07
6.16e-05,6.43727948774485e-11,-4.123221308460054e-06
6.32e-05,5.445636212798339e-11,-7.605379276388276e-06
6.48e-05,3.963565178813981e-11,-9.996713925103418e-06
6.68e-05,2.169177524857844e-11,-1.1386804304092658e-05
6.84e-05,2.1208222673580995e-12,-1.1978454460989573e-05
7e-05,-1.785047233802051e-11,-1.1868917531567273e-05
7.16e-05,-3.7007119121721664e-11,-1.097029068582103e-05
7.32e-05,-5.3839568011628396e-11,-9.029905062226694e-06
7.48e-05,-6.638526088148235e-11,-5.80438633714164e-06
7.68e-05,-7.254143233196508e-11,-1.4418564588873184e-06
7.84e-05,-7.100225245744322e-11,3.2511511045994782e-06
8e-05,-6.2113671311834e-11,7.2276108930654355e-06
8.16e-05,-4.762820826987452e-11,9.934782149329841e-06
