s,x,px
0.0,-3.6e-11,-5.2e-06
1.2000000000000002e-06,-4.124447296915105e-11,-4.220091362977055e-06
2.4000000000000003e-06,-4.528877267798135e-11,-3.044255880404756e-06
3.2000000000000003e-06,-4.793673663226565e-11,-1.7120013301774405e-06
4.4e-06,-4.9048847599343944e-11,-2.855658185654656e-07
5.600000000000001e-06,-4.8563668014362346e-11,1.1570425226808489e-06
6.800000000000001e-06,-4.6508215143173836e-11,2.5349497809850072e-06
7.6e-06,-4.299332819977363e-11,3.778469380888355e-06
8.8e-06,-3.819581941959773e-11,4.8387875465045204e-06
1e-05,-3.2333865236577786e-11,5.69041992476063e-06
1.12e-05,-2.564318758026621e-11,6.327335753153889e-06
1.24e-05,-1.8359350074628672e-11,6.755850141746715e-06
1.32e-05,-1.0708058217216541e-11,6.9873550889005035e-06
1.44e-05,-2.9026176522785484e-12,7.032731139498051e-06
1.56e-05,4.85367003522642e-12,6.899066980849247e-06
1.68e-05,1.2362722380704194e-11,6.58864847880887e-06
1.76e-05,1.942690801499897e-11,6.100000022483492e-06
1.88e-05,2.584646631469998e-11,5.430772668853354e-06
2e-05,3.14210027569306e-11,4.582176754462686e-06
2.12e-05,3.5956391054839356e-11,3.5642609112830455e-06
2.24e-05,3.927726601058463e-11,2.400675064582379e-06
2.32e-05,4.124346275368853e-11,1.1309959091408016e-06
2.44e-05,4.176672689538609e-11,-1.9111194925480244e-07
2.56e-05,4.082286586154687e-11,-1.5042456634203677e-06
2.68e-05,3.8455299324928755e-11,-2.7483633621306054e-06
2.76e-05,3.4768754350898376e-11,-3.873386940209418e-06
2.88e-05,2.99153107285705e-11,-4.844339820195222e-06
3e-05,2.4077295107110853e-11,-5.641869348223734e-06
3.12e-05,1.745168436625947e-11,-6.2590135205548596e-06
3.24e-05,1.0239143891609159e-11,-6.696109068507515e-06
3.32e-05,2.6387640418326528e-12,-6.95564831481143e-06
3.44e-05,-5.152093110204407e-12,-7.0382432734929e-06
3.56e-05,-1.293437569417173e-11,-6.940246726302899e-06
3.68e-05,-2.0502336361391864e-11,-6.653279512839989e-06
3.76e-05,-2.763917819840445e-11,-6.165873630523122e-06
3.88e-05,-3.4115819249699264e-11,-5.467430761983079e-06
4e-05,-3.969530197273352e-11,-4.554403141689933e-06
4.12e-05,-4.414480449716517e-11,-3.4377670051471627e-06
4.24e-05,-4.7255447359610414e-11,-2.149551326778572e-06
4.32e-05,-4.886702671983703e-11,-7.451579988908746e-07
4.44e-05,-4.8891479416212824e-11,7.012362101265969e-07
4.56e-05,-4.732744127204228e-11,2.108079864135218e-06
4.68e-05,-4.426048185390411e-11,3.4007745232068265e-06
4.76e-05,-3.9848924538253975e-11,4.523238663796234e-06
4.88e-05,-3.4300541403333457e-11,5.442734343442464e-06
5e-05,-2.784775256999328e-11,6.147726836091905e-06
5.12e-05,-2.0727608700296397e-11,6.641433517029907e-06
5.24e-05,-1.3169532080039947e-11,6.934339055351515e-06
5.32e-05,-5.3906986867906055e-12,7.037955528454376e-06
5.44e-05,2.4028619233227746e-12,6.960791995274678e-06
5.56e-05,1.0011970152689925e-11,6.706643251897941e-06
5.68e-05,1.723927624580389e-11,6.275001253813962e-06
5.76e-05,2.388576293949287e-11,5.663378878116917e-06
5.88e-05,2.975076379978153e-11,4.8713010168586014e-06
6e-05,3.463705558114252e-11,3.905427412735236e-06
6.12e-05,3.836165176430084e-11,2.7846702466348237e-06
6.24e-05,4.0771293595025693e-11,1.5435141736109092e-06
6.32e-05,4.175957422113858e-11,2.3162964827641714e-07
6.44e-05,4.128106242405367e-11,-1.0911297111648903e-06
6.56e-05,3.93578897587599e-11,-2.363261668180892e-06
6.68e-05,3.607650010185858e-11,-3.530751047179157e-06
6.76e-05,3.157571083296247e-11,-4.553540047064253e-06
6.88e-05,2.603006871855336e-11,-5.407509555325725e-06
7e-05,1.9633338686094428e-11,-6.0822591372597135e-06
7.12e-05,1.2585855574933358e-11,-6.576388390657971e-06
7.24e-05,5.087446413904748e-12,-6.892209843972225e-06
7.32e-05,-2.6642142834303744e-12,-7.031277303968137e-06
7.44e-05,-1.0471122416608878e-11,-6.991444961833668e-06
7.56e-05,-1.813021211521454e-11,-6.765766705095924e-06
7.68e-05,-2.542853690594803e-11,-6.3434411657035145e-06
7.76e-05,-3.2140763416805595e-11,-5.713020437436423e-06
7.88e-05,-3.8031525917259093e-11,-4.867932363404076e-06
8e-05,-4.2864884817236476e-11,-3.8137183373746274e-06
8.12e-05,-4.642179719197591e-11,-2.5751866559850823e-06
8.24e-05,-4.8523810787727574e-11,-1.2004377460615436e-06
8.32e-05,-4.90577557397341e-11,2.4136897780051977e-07
8.44e-05,-4.799391095662636e-11,1.6695027364498683e-06
8.56e-05,-4.539109681574309e-11,3.0056566460453276e-06
8.68e-05,-4.138672587144503e-11,4.186970786381801e-06
8.76e-05,-3.6175604789625534e-11,5.173214113612424e-06
8.88e-05,-2.998480264531593e-11,5.94666812289588e-06
9e-05,-2.305161808546022e-11,6.506677022440033e-06
9.12e-05,-1.560873838738446e-11,6.8621795189009065e-06
9.24e-05,-7.877340976325289e-12,7.024910833945568e-06
9.32e-05,-6.663734172734599e-14,7.004628889082108e-06
9.44e-05,7.62257040373589e-12,6.8066806356764114e-06
9.56e-05,1.499284469018093e-11,6.431762494244338e-06
9.68e-05,2.1845901149486038e-11,5.877657030277354e-06
9.76e-05,2.7981311597095637e-11,5.142730967871127e-06
9.88e-05,3.319985591876007e-11,4.230787511676261e-06
0.0001,3.731251865901936e-11,3.1563530048712574e-06
0.0001012,4.015471817814802e-11,1.9487889797456205e-06
0.0001024,4.1603362188692544e-11,6.532568334427042e-07
0.0001032,4.159246670704051e-11,-6.728272332158724e-07
0.0001044,4.0122536594756124e-11,-1.9674525501598726e-06
0.0001056,3.7260491120093114e-11,-3.173336622538406e-06
0.0001068,3.31301609542656e-11,-4.245538019436075e-06
0.0001076,2.789661176742317e-11,-5.154932110295664e-06
0.0001088,2.1749103032398017e-11,-5.887186760232248e-06
0.00011,1.488692411591912e-11,-6.438618467969748e-06
0.0001112,7.510482694730413e-12,-6.810902032942303e-06
0.0001124,-1.8196842723188938e-13,-7.006233225522049e-06
0.0001132,-7.992977295308313e-12,-7.023854756076365e-06
0.0001144,-1.5721653306853672e-11,-6.8583474350413575e-06
0.0001155999999999,-2.3158626893094605e-11,-6.499900583115018e-06
0.0001167999999999,-3.0082533646206506e-11,-5.936779820560713e-06
0.0001176,-3.6260549088678447e-11,-5.1601350176502835e-06
0.0001188,-4.1455397680846666e-11,-4.170821332569762e-06
0.00012,-4.5440313115664297e-11,-2.9868602286712654e-06
0.0001212,-4.802115575974783e-11,-1.6488340810792862e-06
0.0001224,-4.9061542437187276e-11,-2.199023223595882e-07
0.0001232,-4.8503927150979964e-11,1.2214876050683267e-06
0.0001244,-4.6379342218539806e-11,2.5946792985872844e-06
0.0001256,-4.28020829806969e-11,3.830772610070136e-06
0.0001268,-3.795138956771518e-11,4.882014240555091e-06
0.0001276,-3.204671755488755e-11,5.723922744234776e-06
0.0001288,-2.5324106300401213e-11,6.35119187405836e-06
0.00013,-1.8018822278984783e-11,6.770516125778823e-06
0.0001312,-1.0356017424834697e-11,6.993368681590625e-06
0.0001324,-2.5484647071339006e-12,7.030511383121933e-06
0.0001332,5.20088278236128e-12,6.888820794562696e-06
0.0001344,1.2694057344761942e-11,6.570375084937857e-06
0.0001356,1.9733362622968003e-11,6.0735834677404635e-06
0.0001368,2.6118939846553115e-11,5.396152615436333e-06
0.0001376,3.16504855180029e-11,4.53957703939152e-06
0.0001388,3.613441446969596e-11,3.5144296527020626e-06
0.00014,3.939658301085922e-11,2.3450582081271416e-06
0.0001412,4.12988338356744e-11,1.071753484956702e-06
0.0001424,4.175560638812584e-11,-2.5130132484397846e-07
0.0001432,4.074577108176627e-11,-1.5625588863579362e-06
0.0001444,3.831573367054714e-11,-2.8022599550750513e-06
0.0001456,3.45727118368401e-11,-3.920933748952346e-06
0.0001468,2.967053095063347e-11,-4.88433459689282e-06
0.0001476,2.3792492666169764e-11,-5.673763042361156e-06
0.0001488,1.7135936202803207e-11,-6.282704350372651e-06
0.00015,9.901526803942878e-12,-6.711699071154718e-06
0.0001512,2.2882462693309346e-12,-6.9632304460487275e-06
0.0001524,-5.506560400594341e-12,-7.0377552429527645e-06
0.0001532,-1.3283649836519506e-11,-6.931406855010693e-06
0.0001544,-2.0836853927509415e-11,-6.635613709088947e-06
0.0001556,-2.794881217360743e-11,-6.138843675285029e-06
0.0001568,-3.4389938505712584e-11,-5.430669388432753e-06
0.0001576,-3.99231411364183e-11,-4.5080364868213275e-06
0.0001588,-4.431620182425648e-11,-3.382753166583518e-06
0.00016,-4.736189474093236e-11,-2.087902456473901e-06
0.0001612,-4.8902817721640307e-11,-6.798942977401805e-07
0.0001624,-4.885461702714585e-11,7.664721004226523e-07
0.0001632,-4.7219981660268943e-11,2.1696502881777548e-06
0.0001644,-4.4088180633001556e-11,3.455672214399611e-06
0.0001656,-3.962032283305194e-11,4.569467569880368e-06
0.0001668,-3.402581697591645e-11,5.479350798508998e-06
0.0001676,-2.753767327771286e-11,6.174614580417396e-06
0.0001688,-2.0392800025305162e-11,6.658964543829016e-06
0.00017,-1.2820112477467213e-11,6.943052090353308e-06
0.0001712,-5.036223955356424e-12,7.038322486047942e-06
0.0001724,2.7532537030492046e-12,6.953091263945626e-06
0.0001732,1.0349328906956177e-11,6.690934139894206e-06
0.0001744,1.7554632393663068e-11,6.251189414180143e-06
0.0001756,2.417003830813922e-11,5.6313636057531055e-06
0.0001768,2.999488351202508e-11,4.831188936430322e-06
0.0001776,3.483231445889646e-11,3.857775950921832e-06
0.0001788,3.850033025080985e-11,2.7306923439695984e-06
0.00018,4.084742948289109e-11,1.485153430092532e-06
0.0001812,4.176970561987536e-11,1.7143351837479164e-07
0.0001824,4.122471799001654e-11,-1.1503370793542277e-06
0.0001832,3.92376587793456e-11,-2.418806935357953e-06
0.0001844,3.589765736594507e-11,-3.5804838707492303e-06
0.0001856,3.134552720673313e-11,-4.596025427358789e-06
0.0001868,2.5757025296183604e-11,-5.442008687644021e-06
0.0001876,1.9326449146768483e-11,-6.108554200256131e-06
0.0001888,1.225421994340034e-11,-6.59454211228462e-06
0.00019,4.740065591941871e-12,-6.902337540373503e-06
0.0001912,-3.0184025746251507e-12,-7.033377143582841e-06
0.0001924,-1.082306237850032e-11,-6.985306686407385e-06
0.0001932,-1.8470496096252288e-11,-6.750968576576041e-06
0.0001944,-2.5747222787539016e-11,-6.319444915598137e-06
0.0001956,-3.242735702831139e-11,-5.679372741615097e-06
0.0001968,-3.827524231193499e-11,-4.8245642556730346e-06
0.0001976,-4.305526838467832e-11,-3.7612903359168455e-06
0.0001988,-4.654968772201129e-11,-2.515365032860623e-06
0.0002,-4.858249296972353e-11,-1.1359477433187227e-06
0.0002012,-4.904398287915869e-11,3.070222944618681e-07
0.0002024,-4.7908454791618656e-11,1.732606547706662e-06
0.0002032,-4.523861359046776e-11,3.0629464444471e-06
0.0002044,-4.117499112711566e-11,4.236108216448441e-06
0.0002056,-3.59143996367112e-11,5.212935139176175e-06
0.0002068,-2.968480404067623e-11,5.97662766613053e-06
0.0002076,-2.2723553498004368e-11,6.5271294317266444e-06
0.0002088,-1.5262906439520943e-11,6.873640737409427e-06
0.00021,-7.523467990762253e-12,7.027892879846679e-06
0.0002112,2.860287985280764e-13,6.999479114769473e-06
0.0002124,7.965045391214381e-12,6.793525121580191e-06
0.0002132,1.531618227410695e-11,6.410543517142906e-06
0.0002144,2.214105659743902e-11,5.84825542124334e-06
0.0002156,2.8239181956856764e-11,5.10516132177427e-06
0.0002168,3.3411562485313607e-11,4.185438025148138e-06
0.0002176,3.7469948988639033e-11,3.1042118352814107e-06
0.0002188,4.025126440044156e-11,1.8915704754580248e-06
0.00022,4.163469720344487e-11,5.933433520109302e-07
0.0002212,4.1557137813031706e-11,-7.326550708521673e-07
0.0002224,4.0022179909978806e-11,-2.0244272461194384e-06
0.0002232,3.709959062918549e-11,-3.225110353458861e-06
0.0002244,3.291543759089216e-11,-4.290440614054556e-06
0.0002256,2.763624355403275e-11,-5.1920165256090736e-06
0.0002268,2.1451995005378143e-11,-5.916094181102196e-06
0.0002276,1.4562181077807217e-11,-6.459348890756369e-06
0.0002288,7.1671424464832645e-12,-6.823575809128768e-06
0.00023,-5.349625468820516e-13,-7.0108996761148595e-06
0.0002311999999999,-8.346631897030418e-12,-7.020374659479065e-06
0.0002323999999999,-1.6066697151928087e-11,-6.846360941420207e-06
0.0002332,-2.3485300082394885e-11,-6.478889813368028e-06
0.0002344,-3.038050475641314e-11,-5.906236085410842e-06
0.0002356,-3.6519076427510473e-11,-5.11983008368987e-06
0.0002368,-4.1663830827374395e-11,-4.121147374268398e-06
0.0002376,-4.55889586206126e-11,-2.9291439783915347e-06
0.0002388,-4.8102395941308816e-11,-1.5854772877196589e-06
0.00024,-4.9070938329617415e-11,-1.5421282803661532e-07
0.0002412,-4.844095206522766e-11,1.2857904341907805e-06
0.0002424,-4.624747321192193e-11,2.6541233231000593e-06
0.0002432,-4.260821437728374e-11,3.882691895029008e-06
0.0002444,-3.770479141037172e-11,4.9248074688409795e-06
0.0002456,-3.175788956363649e-11,5.756982494120934e-06
0.0002468,-2.5003829686441125e-11,6.374619954484516e-06
0.0002476,-1.76775621046877e-11,6.784778592459641e-06
0.0002488,-1.000368094543075e-11,6.999001408704225e-06
0.00025,-2.1944322055639052e-12,7.027925041002932e-06
0.0002512,5.547569172883434e-12,6.8782120954182005e-06
0.0002524,1.3024460201459438e-11,6.551735396829202e-06
0.0002532,2.0038474208523283e-11,6.046795124043653e-06
0.0002544,2.6389657570354417e-11,5.361162907848696e-06
0.0002556,3.187781249558462e-11,4.496628544970961e-06
0.0002568,3.630992136890921e-11,3.4642992285089027e-06
0.0002576,3.9513096664693025e-11,2.2892253135003287e-06
0.0002588,4.135122364793255e-11,1.0124075141873347e-06
0.00026,4.174146063781964e-11,-3.114661384623106e-07
0.0002612,4.0665747617252106e-11,-1.620723233796116e-06
0.0002624,3.8173462173262716e-11,-2.855905156339017e-06
0.0002632,3.437428258663019e-11,-3.968158771714565e-06
0.0002644,2.942374377835597e-11,-4.923969788051035e-06
0.0002656,2.35060901577015e-11,-5.705284684022399e-06
0.0002668,1.6819001120656327e-11,-6.306025137167274e-06
0.0002676,9.563131603498472e-12,-6.726924822060277e-06
0.0002688,1.937355222244521e-12,-6.970449661056395e-06
0.00027,-5.860992486686223e-12,-7.0368964212863505e-06
0.0002712,-1.3632465943343027e-11,-6.9221782878943364e-06
0.0002724,-2.1170467079814393e-11,-6.617534819117761e-06
0.0002732,-2.8257069242069853e-11,-6.111378117261307e-06
0.0002744,-3.466219159034588e-11,-5.393464803413198e-06
0.0002756,-4.014863348064732e-11,-4.461249706187989e-06
0.0002768,-4.448482214693159e-11,-3.3273867581001597e-06
0.0002776,-4.746523754328203e-11,-2.026017768606627e-06
0.0002788,-4.893532829804117e-11,-6.145505598331889e-07
0.00028,-4.881447982145259e-11,8.31617879511881e-07
0.0002812,-4.710943331147158e-11,2.230976588344887e-06
0.0002824,-4.391312591991576e-11,3.5102118646654144e-06
0.0002832,-3.938940227874906e-11,4.615273813554733e-06
0.0002844,-3.3749255898588125e-11,5.515523792649891e-06
0.0002856,-2.7226246136231416e-11,6.20106780472052e-06
0.0002868,-2.0057114544113482e-11,6.676084005995767e-06
0.0002876,-1.2470260865983686e-11,6.951377747723641e-06
0.0002888,-4.681738884180735e-12,7.038319421602307e-06
0.00029,3.1032478557898112e-12,6.945027767230393e-06
