s,x,px
0.0,-3.6e-11,5.2e-06
8.000000000000001e-07,-3.160291845566588e-11,5.774106515439437e-06
1.6e-06,-2.6791128318451046e-11,6.236945452747031e-06
2.4000000000000003e-06,-2.165287476575412e-11,6.590829774533489e-06
3.2000000000000003e-06,-1.6273800586370354e-11,6.839727885678214e-06
4.000000000000001e-06,-1.0736126141755809e-11,6.988049183629878e-06
4.800000000000001e-06,-5.11868103994578e-12,7.039737740116245e-06
5.600000000000001e-06,5.024716924598563e-13,6.997697368255764e-06
6.4000000000000006e-06,6.053080555237891e-12,6.863535831538834e-06
7.200000000000001e-06,1.145966588447558e-11,6.637605159736724e-06
8.000000000000001e-06,1.6648623590431936e-11,6.3193166441083554e-06
8.8e-06,2.1545684289474565e-11,5.907710768451158e-06
9.6e-06,2.6075921540963347e-11,5.40225376964291e-06
1.04e-05,3.0164471262360214e-11,4.803806888762029e-06
1.12e-05,3.373806483955772e-11,4.115670702049159e-06
1.2e-05,3.672737906385902e-11,3.3445532685793786e-06
1.28e-05,3.9070065738637545e-11,2.5012662886689025e-06
1.36e-05,4.071416052403456e-11,1.6009453488710908e-06
1.44e-05,4.162142412222027e-11,6.62643589111905e-07
1.52e-05,4.177009259309458e-11,-2.917311845272142e-07
1.6e-05,4.1156553257311516e-11,-1.2390038623652179e-06
1.68e-05,3.9795630649238364e-11,-2.156563656821375e-06
1.76e-05,3.771942719171962e-11,-3.024086120459155e-06
1.84e-05,3.497494024438786e-11,-3.824825078476489e-06
1.92e-05,3.1620888032975366e-11,-4.546279496507999e-06
2e-05,2.7724267684779548e-11,-5.1802045260512765e-06
2.08e-05,2.3357133289604434e-11,-5.7220777676871675e-06
2.16e-05,1.8593956245351137e-11,-6.170212174253698e-06
2.24e-05,1.3509767610034276e-11,-6.524720477473496e-06
2.32e-05,8.179129579413894e-12,-6.7865022201621595e-06
2.4e-05,2.6758671362919834e-12,-6.956371511090961e-06
2.48e-05,-2.9265831268271636e-12,-7.03439450911805e-06
2.56e-05,-8.554390773941882e-12,-7.019472677763901e-06
2.64e-05,-1.4132321489696428e-11,-6.909193196769802e-06
2.72e-05,-1.958272083806402e-11,-6.699966684825308e-06
2.8e-05,-2.482473082839492e-11,-6.387475410433659e-06
2.88e-05,-2.9773995989542224e-11,-5.967450731012336e-06
2.96e-05,-3.4343122566178175e-11,-5.436773940462959e-06
3.04e-05,-3.844313002096066e-11,-4.7948396504446346e-06
3.12e-05,-4.1986052302420234e-11,-4.0450335292744355e-06
3.2e-05,-4.488868630169319e-11,-3.196072194710187e-06
3.28e-05,-4.7077247103562794e-11,-2.2628709463639097e-06
3.36e-05,-4.8492413266353866e-11,-1.2666003686655656e-06
3.44e-05,-4.9094012975655433e-11,-2.3371252947239833e-07
3.52e-05,-4.886451730052669e-11,8.060385116104078e-07
3.6e-05,-4.7810645499885896e-11,1.8222605198736772e-06
3.68e-05,-4.596274384994211e-11,2.7867237704034875e-06
3.76e-05,-4.337207035928417e-11,3.6757039126309053e-06
3.84e-05,-4.0106543323290197e-11,4.471427756647328e-06
3.92e-05,-3.624575488473551e-11,5.162463946410551e-06
4e-05,-3.187606083235393e-11,5.74318113388519e-06
4.08e-05,-2.7086379258542652e-11,6.212575820944614e-06
4.16e-05,-2.1965061707469588e-11,6.572819268129982e-06
4.24e-05,-1.6597937752667913e-11,6.827818336653221e-06
4.32e-05,-1.1067436968773419e-11,6.9819847985191265e-06
4.4e-05,-5.452577156471542e-12,7.03930959327911e-06
4.48e-05,1.7043921804527562e-13,7.002768379832787e-06
4.56e-05,5.727282534243419e-12,6.874047444470322e-06
4.64e-05,1.114445481589474e-11,6.653567097441484e-06
4.72e-05,1.6348378901512233e-11,6.340780918498133e-06
4.8e-05,2.1264830886726937e-11,5.934731205515338e-06
4.88e-05,2.581891086958417e-11,5.434833258524358e-06
4.96e-05,2.9935716581560184e-11,4.841836610227832e-06
5.04e-05,3.3541826979837766e-11,4.1588685908876786e-06
5.12e-05,3.656760603191175e-11,3.3924121310423825e-06
5.2e-05,3.8950198778073785e-11,2.553023907744073e-06
5.28e-05,4.0636928938088316e-11,1.6555878700063973e-06
5.36e-05,4.158865843313794e-11,7.189483625726379e-07
5.44e-05,4.1782587242466474e-11,-2.3511586088534564e-07
5.52e-05,4.1214004020446874e-11,-1.1834545104063883e-06
5.6e-05,3.989665881624939e-11,-2.103372536733168e-06
5.68e-05,3.7861685817137977e-11,-2.9743684304800486e-06
5.76e-05,3.515528244824518e-11,-3.779458639871075e-06
5.83999999999e-05,3.183556787048338e-11,-4.505883974538634e-06
5.92e-05,2.7969142414256197e-11,-5.145157584875691e-06
6e-05,2.362784097189563e-11,-5.692558638610427e-06
6.08e-05,1.8886051621914235e-11,-6.146260313586198e-06
6.16e-05,1.3818808944121033e-11,-6.506297777577087e-06
6.24e-05,8.500717326382125e-12,-6.7735500474847785e-06
6.32e-05,3.005640987648061e-12,-6.9488570567088265e-06
6.4e-05,-2.592978948225712e-12,-7.0323434663071624e-06
6.48e-05,-8.221362347079135e-12,-7.022986686102773e-06
6.56e-05,-1.3804387512342568e-11,-6.918450913893645e-06
6.64e-05,-1.926456883052578e-11,-6.7152071962854196e-06
6.72e-05,-2.4521252529964352e-11,-6.408962593128921e-06
6.8e-05,-2.949028634775244e-11,-5.995417887153405e-06
6.88e-05,-3.408442694170146e-11,-5.471350248893458e-06
6.96e-05,-3.8214727018022015e-11,-4.835964193272323e-06
7.04e-05,-4.179306652257569e-11,-4.092368553252356e-06
7.12e-05,-4.4735837138059804e-11,-3.2489333140501243e-06
7.2e-05,-4.696855547278662e-11,-2.3201952770932765e-06
7.28e-05,-4.843090432340598e-11,-1.3269707073319843e-06
7.36e-05,-4.908146351715259e-11,-2.9544479952755853e-07
7.44e-05,-4.8901295793578764e-11,7.447543020556909e-07
7.52e-05,-4.789567783104668e-11,1.7631924880800103e-06
7.6e-05,-4.609361213743668e-11,2.7314394006364944e-06
7.68e-05,-4.354522388734317e-11,3.6254530543038722e-06
7.76e-05,-4.0317579492044963e-11,4.427086236237305e-06
7.84e-05,-3.648972014843019e-11,5.124538735564555e-06
7.92e-05,-3.214772707167856e-11,5.711863503459297e-06
8e-05,-2.7380465203132595e-11,6.187822000354753e-06
8.08e-05,-2.2276385611391053e-11,6.554438669223901e-06
8.16e-05,-1.692150163261252e-11,6.815554474521761e-06
8.24e-05,-1.139845209018832e-11,6.975580302277209e-06
8.32e-05,-5.786445151278774e-12,7.038551874452023e-06
8.4e-05,-1.6182610699383157e-13,7.007515739417867e-06
8.48e-05,5.400993575036339e-12,6.8842367948428125e-06
8.56e-05,1.0828494342333305e-11,6.669204688706733e-06
8.64e-05,1.604712390917804e-11,6.36191724908132e-06
8.72e-05,2.0982703698522547e-11,5.961421359235188e-06
8.8e-05,2.5560362682211467e-11,5.467084788417823e-06
8.88e-05,2.970516561617866e-11,4.879549072784835e-06
8.96e-05,3.33435471634421e-11,4.201771791763465e-06
9.04e-05,3.640556908481637e-11,3.4400133340861348e-06
9.12e-05,3.882788173181733e-11,2.6045762930689183e-06
9.2e-05,4.0557108850195205e-11,1.7100917037543695e-06
9.28e-05,4.1553223570517526e-11,7.751914731168019e-07
9.36e-05,4.179239604512141e-11,-1.7848027406496815e-07
9.44e-05,4.126881759424878e-11,-1.1278045964078114e-06
9.52e-05,3.9995159932257005e-11,-2.0500083924177306e-06
9.6e-05,3.8001580723932315e-11,-2.9244178076820943e-06
9.68e-05,3.533346625936137e-11,-3.7338144075132414e-06
9.76e-05,3.204832439261713e-11,-4.4651809812369545e-06
9.84e-05,2.8212347134774783e-11,-5.1097868404477114e-06
9.92e-05,2.3897140694356583e-11,-5.662709592732139e-06
0.0001,1.917700311344818e-11,-6.121978961628149e-06
0.0001008,1.4126968729041331e-11,-6.487548936734723e-06
0.0001016,8.821683073598492e-12,-6.760274885131522e-06
