s,x,px
0.0,3.6e-11,-5.2e-06
8.000000000000001e-07,3.0886731219126234e-11,-6.02479903082994e-06
2.0000000000000003e-06,2.5090565114579143e-11,-6.7021473795110385e-06
2.8000000000000003e-06,1.8745372618006314e-11,-7.2331943966362285e-06
3.6000000000000007e-06,1.1982375792631496e-11,-7.622103804550551e-06
4.4e-06,4.928733479094192e-12,-7.873231527297132e-06
5.600000000000001e-06,-2.291601829588122e-12,-7.988982833064708e-06
6.4000000000000006e-06,-9.555433618171676e-12,-7.968456932689221e-06
7.200000000000001e-06,-1.673700722218211e-11,-7.806905969776732e-06
8.000000000000001e-06,-2.3704589578621736e-11,-7.496055261533594e-06
9.2e-06,-3.0317770196461816e-11,-7.025391974740032e-06
1e-05,-3.64264245128438e-11,-6.3845517873412225e-06
1.08e-05,-4.187236338403222e-11,-5.566826454283365e-06
1.2e-05,-4.6494587634020476e-11,-4.573500123389195e-06
1.28e-05,-5.0138575555225546e-11,-3.4181999945826497e-06
1.36e-05,-5.266903127409019e-11,-2.12989882104315e-06
1.44e-05,-5.3984154747092046e-11,-7.530241061671529e-07
1.56e-05,-5.402829117099964e-11,6.562777661181733e-07
1.64e-05,-5.279953880555754e-11,2.037285410638378e-06
1.72e-05,-5.0350017563052747e-11,3.333277823235336e-06
1.8e-05,-4.677871422709277e-11,4.4988550768947416e-06
1.92e-05,-4.2219075439954245e-11,5.503941988618129e-06
2e-05,-3.682473856973006e-11,6.333925507228313e-06
2.08e-05,-3.0756599992220296e-11,6.9868037874659825e-06
2.2e-05,-2.4173256429482292e-11,7.468879528482071e-06
2.28e-05,-1.7225477712945815e-11,7.790389741642652e-06
2.36e-05,-1.0054335351227976e-11,7.961926723257288e-06
2.44e-05,-2.7920872187413702e-12,7.991972582818205e-06
2.56e-05,4.4352063751522206e-12,7.885538781697828e-06
2.64e-05,1.1504284453347201e-11,7.643783269274984e-06
2.72e-05,1.8291339148505225e-11,7.264494284892155e-06
2.8e-05,2.4669482174602617e-11,6.743390298209528e-06
2.91999999999e-05,3.0507755374094225e-11,6.076210448060572e-06
3e-05,3.567236954079692e-11,5.261497045976226e-06
3.08e-05,4.003068387492336e-11,4.303768764579324e-06
3.2e-05,4.3458030978766815e-11,3.216480312820125e-06
3.28e-05,4.584680938726978e-11,2.0238920127491274e-06
3.36e-05,4.71164303006969e-11,7.609491010321874e-07
3.44e-05,4.722203876775318e-11,-5.293154828682644e-07
3.56e-05,4.615983781869581e-11,-1.800523687917692e-06
3.64e-05,4.396755454248573e-11,-3.008642662188609e-06
3.72e-05,4.0719915711166404e-11,-4.1170070900620695e-06
3.8e-05,3.65203877624487e-11,-5.0993545366326575e-06
3.92e-05,3.149128478344334e-11,-5.940375763158634e-06
4e-05,2.5764393900569937e-11,-6.6341426488917794e-06
4.08e-05,1.9473675754510082e-11,-7.18127472291314e-06
4.2e-05,1.2750764088179825e-11,-7.585750416195628e-06
4.28e-05,5.723263105210968e-12,-7.852024047627166e-06
4.36e-05,-1.4846164234332926e-12,-7.982799386324244e-06
4.44e-05,-8.74974826542615e-12,-7.977584959446523e-06
4.56e-05,-1.594683591458124e-11,-7.832061173644635e-06
4.64e-05,-2.2944965041933204e-11,-7.538300618590516e-06
4.72e-05,-2.9604780041503335e-11,-7.08594233657762e-06
4.8e-05,-3.5777212622863135e-11,-6.464451775660203e-06
