s,x,px
0.0,-9.1e-11,0.0
1.2000000000000002e-06,-8.778841300947014e-11,5.530743316024245e-06
2.4000000000000003e-06,-7.872866228714026e-11,1.0112572930218527e-05
3.6000000000000007e-06,-6.519902333695396e-11,1.3336759042772747e-05
4.4e-06,-4.8719824546834255e-11,1.532046478465773e-05
5.600000000000001e-06,-3.053123133720936e-11,1.6382569151337862e-05
6.800000000000001e-06,-1.1516969915333982e-11,1.680236650038907e-05
8.000000000000001e-06,7.689754526152632e-12,1.673348279986186e-05
9.2e-06,2.6553002547316824e-11,1.619300821420286e-05
1.04e-05,4.44808616066662e-11,1.5067229560780524e-05
1.16e-05,6.068375737793131e-11,1.3129656800663479e-05
1.24e-05,7.407923093421409e-11,1.0114891346215678e-05
1.36e-05,8.334364079846678e-11,5.908593346242285e-06
1.48e-05,8.723646838127301e-11,8.075999635060942e-07
1.6e-05,8.513650542808576e-11,-4.429238181678687e-06
1.72e-05,7.738692182856016e-11,-8.96209062955132e-06
1.84e-05,6.509861083190164e-11,-1.2340097894891158e-05
1.96e-05,4.961831488086094e-11,-1.4578192138595228e-05
2.04e-05,3.2117607005587925e-11,-1.592207204301445e-05
2.16e-05,1.3468903884194388e-11,-1.6622195061269743e-05
2.28e-05,-5.68995430720634e-12,-1.682969774054449e-05
2.4e-05,-2.482192687111607e-11,-1.6567933189929003e-05
2.52e-05,-4.333982456578822e-11,-1.57249172523826e-05
2.64e-05,-6.045093371521262e-11,-1.4055513367806742e-05
2.76e-05,-7.502707973247183e-11,-1.1235531675171176e-05
2.84e-05,-8.560616423043886e-11,-7.051396662688885e-06
2.96e-05,-9.070048766546599e-11,-1.7266921333473094e-06
3.08e-05,-8.942737308027109e-11,3.918450547044025e-06
3.2e-05,-8.201882336082991e-11,8.86092246618208e-06
3.32e-05,-6.967837060646622e-11,1.2502753010645247e-05
3.44e-05,-5.3945376190030934e-11,1.4831757874178386e-05
3.56e-05,-3.616643394765638e-11,1.6139117129550975e-05
3.64e-05,-1.732697109348163e-11,1.673108583779829e-05
3.76e-05,1.8794387785185e-12,1.6802348949096722e-05
3.88e-05,2.090384923134683e-11,1.641098942732231e-05
4e-05,3.9187058809669306e-11,1.5482057617370424e-05
4.12e-05,5.6012873485430807e-11,1.3819289496150055e-05
4.24e-05,7.039161257587759e-11,1.1155160826390632e-05
4.36e-05,8.105269413492996e-11,7.302008369877981e-06
4.44e-05,8.667846720701112e-11,2.4096373218095813e-06
4.56e-05,8.640453162992987e-11,-2.8819998708589586e-06
4.68e-05,8.027607618360494e-11,-7.699618771621728e-06
4.8e-05,6.922166623532853e-11,-1.1444242275795287e-05
4.92e-05,5.457235628177176e-11,-1.4007083501462897e-05
5.04e-05,3.757840145386756e-11,-1.5592736628672975e-05
5.16e-05,1.9201884544533e-11,-1.6466540172284708e-05
5.24e-05,1.3918914918753118e-13,-1.6814849541715643e-05
5.36e-05,-1.905763461219757e-11,-1.6700849278868134e-05
5.48e-05,-3.783298787548252e-11,-1.605410963389042e-05
5.6e-05,-5.5472517252671006e-11,-1.4667947416722149e-05
5.72e-05,-7.0958757607359e-11,-1.2229989037788425e-05
5.83999999999e-05,-8.29156322435261e-11,-8.462450380483606e-06
5.96e-05,-8.980737161344389e-11,-3.4222116321557815e-06
6.04e-05,-9.049525193491467e-11,2.2380260129968137e-06
6.16e-05,-8.485363010439111e-11,7.48522107491675e-06
6.28e-05,-7.384769816408943e-11,1.1546062033577827e-05
6.4e-05,-5.898564454597563e-11,1.4249244057688137e-05
6.52e-05,-4.1706266746660984e-11,1.5830790758254825e-05
6.64e-05,-2.3104257526285895e-11,1.661292372209497e-05
6.76e-05,-3.947523501291797e-12,1.6829629214749295e-05
6.84e-05,1.5187695862928478e-11,1.658044404524216e-05
6.96e-05,3.376132188174388e-11,1.5830043358623725e-05
7.08e-05,5.1119305200584616e-11,1.44164834334234e-05
7.2e-05,6.63630018735497e-11,1.208376253876711e-05
7.32e-05,7.829589114986269e-11,8.596061962647897e-06
7.44e-05,8.557147500672225e-11,3.973039182838621e-06
7.56e-05,8.712793696824647e-11,-1.2889218498963572e-06
7.64e-05,8.270982208776216e-11,-6.334709503056721e-06
7.76e-05,7.301524873456264e-11,-1.0437583151508306e-05
7.88e-05,5.931316230253871e-11,-1.3345892851405067e-05
8e-05,4.291407448814342e-11,-1.5198626120932894e-05
8.12e-05,2.4872830425277437e-11,-1.6263477122585445e-05
8.24e-05,5.955988932692147e-12,-1.675844788111124e-05
8.36e-05,-1.32557176765721e-11,-1.6785779746351745e-05
8.44e-05,-3.22239496086681e-11,-1.6316187393936022e-05
8.56e-05,-5.029895478450299e-11,-1.5183671517373983e-05
8.68e-05,-6.656761773156388e-11,-1.3099971817796372e-05
8.8e-05,-7.975702651755857e-11,-9.751900695133691e-06
8.92e-05,-8.83365389762908e-11,-5.057557215892197e-06
9.04e-05,-9.097321451047773e-11,5.174419843011763e-07
9.16e-05,-8.719171868998694e-11,5.995707204882425e-06
9.24e-05,-7.766355063644926e-11,1.0461719211993897e-05
9.36e-05,-6.380644816697135e-11,1.3563243520206589e-05
9.48e-05,-4.7126923017104845e-11,1.5449737486631738e-05
9.6e-05,-2.8831909898461466e-11,1.6443771084030646e-05
