s,x,px
0.0,0.0,-1.2e-05
8.000000000000001e-07,-9.42260221161192e-12,-1.2002031464104313e-05
1.6e-06,-1.878538600741566e-11,-1.1845646728778835e-05
2.4000000000000003e-06,-2.7958563845000723e-11,-1.1515134588342352e-05
3.2000000000000003e-06,-3.679646098229432e-11,-1.0985955944300342e-05
4.000000000000001e-06,-4.513144109027569e-11,-1.022723623940528e-05
4.800000000000001e-06,-5.277067169268965e-11,-9.206661268793762e-06
5.600000000000001e-06,-5.949792178562896e-11,-7.898485391322538e-06
6.4000000000000006e-06,-6.508284494089242e-11,-6.294446229959669e-06
7.200000000000001e-06,-6.929934732611569e-11,-4.415459433525502e-06
8.000000000000001e-06,-7.195203491682827e-11,-2.3196217137990406e-06
8.8e-06,-7.290568584931814e-11,-1.0110488170182926e-07
9.6e-06,-7.210918519068856e-11,2.1229037066570724e-06
1e-05,-6.960531829245222e-11,4.23414263952878e-06
1.08e-05,-6.552254554904701e-11,6.135653661634523e-06
1.16e-05,-6.005202803599172e-11,7.765868523938808e-06
1.24e-05,-5.341826977806387e-11,9.100747398619166e-06
1.32e-05,-4.585212558928297e-11,1.0146383815720431e-05
1.4e-05,-3.7571609659185236e-11,1.092742817636839e-05
1.48e-05,-2.8771833344518288e-11,1.1475979873703044e-05
1.56e-05,-1.962263066013572e-11,1.182328689781661e-05
1.64e-05,-1.027143737493231e-11,1.1994591533124017e-05
1.72e-05,-8.491827305749144e-13,1.200645750519685e-05
1.8e-05,8.522413098958464e-12,1.186572896881708e-05
1.88e-05,1.7723153653481578e-11,1.1569510782916296e-05
1.96e-05,2.662697722986935e-11,1.11059381269015e-05
2.04e-05,3.5095517162164065e-11,1.0455879633804246e-05
2.12e-05,4.2973499937361644e-11,9.596009548998276e-06
2.2e-05,5.008726607100481e-11,8.50377748614166e-06
2.28e-05,5.624803054525576e-11,7.164510362645952e-06
2.36e-05,6.126138160773706e-11,5.580005204966152e-06
2.44e-05,6.494348423372467e-11,3.776563723887562e-06
2.52e-05,6.714229530017067e-11,1.8091219172245348e-06
2.6e-05,6.775936138538724e-11,-2.4182028180376496e-07
2.68e-05,6.676595613413888e-11,-2.2814081826989844e-06
2.76e-05,6.420808546508413e-11,-4.216791811810824e-06
2.84e-05,6.019853599625108e-11,-5.972743183425711e-06
2.91999999999e-05,5.48988382263216e-11,-7.501073591173411e-06
3e-05,4.849707982031433e-11,-8.781805160043164e-06
3.04e-05,4.118756797378382e-11,-9.817793368801063e-06
3.12e-05,3.315614320448654e-11,-1.0626297248627493e-05
3.2e-05,2.457224238087291e-11,-1.1230609716521044e-05
3.28e-05,1.558690052895426e-11,-1.1653441061435382e-05
3.36e-05,6.335099285581514e-12,-1.1912434555538608e-05
3.44e-05,-3.059100536565971e-12,-1.2017464112340206e-05
3.52e-05,-1.247582921363802e-11,-1.1969180616032213e-05
3.6e-05,-2.1791894678896498e-11,-1.1758427300006776e-05
3.68e-05,-3.087311933716067e-11,-1.1366463575956455e-05
3.76e-05,-3.9567262563373724e-11,-1.0766321381163737e-05
3.84e-05,-4.769866620730394e-11,-9.925980992598202e-06
3.92e-05,-5.506638745636792e-11,-8.81422446291828e-06
4e-05,-6.14481694552649e-11,-7.4096835061948265e-06
4.08e-05,-6.661258690639503e-11,-5.712357633203581e-06
4.16e-05,-7.034032601954968e-11,-3.75469738493431e-06
4.24e-05,-7.245237663948445e-11,-1.6072038141397684e-06
4.32e-05,-7.283874275294781e-11,6.264886571982468e-07
4.4e-05,-7.147859004768459e-11,2.8262155705753307e-06
4.48e-05,-6.844427503931711e-11,4.878436119327151e-06
4.56e-05,-6.388764292208485e-11,6.6967089701811845e-06
4.64e-05,-5.801394377309977e-11,8.231975126883343e-06
4.72e-05,-5.105239493744724e-11,9.471108237382766e-06
4.8e-05,-4.323133625497474e-11,1.0427549318437964e-05
4.88e-05,-3.476202974474575e-11,1.1129474619180467e-05
4.96e-05,-2.5831332873712892e-11,1.1609457915301123e-05
5e-05,-1.6601304077817878e-11,1.1897223951654382e-05
5.08e-05,-7.213278242669082e-12,1.2015394612030977e-05
5.16e-05,2.2056412375331205e-12,1.1977432805906702e-05
5.24e-05,1.1535069658624235e-11,1.178698275635061e-05
5.32e-05,2.0653684456001926e-11,1.1438112963746423e-05
5.4e-05,2.943206629594307e-11,1.0916356569640867e-05
5.48e-05,3.772674134597952e-11,1.0200801352521376e-05
5.56e-05,4.537643232517044e-11,9.267724447284986e-06
5.64e-05,5.220193346164386e-11,8.096258158876317e-06
5.72e-05,5.8011259956657286e-11,6.6761067138341255e-06
5.8e-05,6.261135571959682e-11,5.01625747421055e-06
5.88e-05,6.582624143402582e-11,3.152152224562809e-06
5.96e-05,6.751902892905355e-11,1.1477751003076984e-06
6.04e-05,6.761259191673115e-11,-9.101352154131137e-07
6.12e-05,6.610256086231508e-11,-2.9254855332780137e-06
6.2e-05,6.305808807005527e-11,-4.8096497620363135e-06
6.28e-05,5.861010247712492e-11,-6.495546335705274e-06
6.36e-05,5.2931209443247334e-11,-7.944398848043369e-06
6.44e-05,4.6213523007681005e-11,-9.144456879712578e-06
