s,x,px
0.0,-9.1e-11,0.0
8.000000000000001e-07,-8.865075664719093e-11,4.759317160583969e-06
2.0000000000000003e-06,-8.191745066451613e-11,8.901867568046561e-06
2.8000000000000003e-06,-7.159686019442953e-11,1.208545215343222e-05
4.000000000000001e-06,-5.865668502132137e-11,1.4289374767795327e-05
4.800000000000001e-06,-4.39800135483206e-11,1.5679821970040308e-05
6e-06,-2.8259271522800333e-11,1.6461714402178586e-05
6.800000000000001e-06,-1.2004158463896698e-11,1.6796654183744532e-05
8.000000000000001e-06,4.399896375834498e-12,1.6776173267465086e-05
8.8e-06,2.0621115940902382e-11,1.6419029509893108e-05
9.6e-06,3.631152701637351e-11,1.5673749248877873e-05
1.08e-05,5.104038103990842e-11,1.4423504167476192e-05
1.16e-05,6.423744278236245e-11,1.2504421152301178e-05
1.28e-05,7.516953093499755e-11,9.75957192481375e-06
1.36e-05,8.299489398007424e-11,6.144662994752381e-06
1.48e-05,8.6935039002517e-11,1.8502934443268357e-06
1.56e-05,8.652984107658862e-11,-2.672032019385763e-06
1.64e-05,8.182894459206949e-11,-6.8687965119166725e-06
1.76e-05,7.336971370666843e-11,-1.032998570266341e-05
1.84e-05,6.196029859225618e-11,-1.291479407815626e-05
1.96e-05,4.843171927882243e-11,-1.4697988613855037e-05
2.04e-05,3.348830592135631e-11,-1.5844179748694586e-05
2.16e-05,1.7671450676048096e-11,-1.65112531524869e-05
2.24e-05,1.391976776136537e-12,-1.680476188881911e-05
2.36e-05,-1.5010230394912e-11,-1.6763511062360652e-05
2.44e-05,-3.119885255766827e-11,-1.6355541381876505e-05
2.52e-05,-4.677086019281196e-11,-1.5475893866769973e-05
2.64e-05,-6.118659312767494e-11,-1.3951820857379586e-05
2.72e-05,-7.371676936465723e-11,-1.1577239839451323e-05
2.84e-05,-8.345040236189711e-11,-8.207755872612146e-06
2.91999999999e-05,-8.942807975372322e-11,-3.915999080015816e-06
3.04e-05,-9.091988211059554e-11,8.941360228516054e-07
3.12e-05,-8.772425612741366e-11,5.580991656124564e-06
3.2e-05,-8.026312508254447e-11,9.562704383908137e-06
3.32e-05,-6.938892671552033e-11,1.2560132484664839e-05
3.4e-05,-5.606879239882195e-11,1.459942753318427e-05
3.52e-05,-4.115447958416989e-11,1.586337141930646e-05
3.6e-05,-2.5302015031369144e-11,1.6553016839468417e-05
3.72e-05,-8.993209959924273e-12,1.6818013276943117e-05
3.8e-05,7.401696816879422e-12,1.673642520764317e-05
3.92e-05,2.3553112925679954e-11,1.6313901817304025e-05
4e-05,3.910271953745806e-11,1.5486435000140262e-05
4.08e-05,5.3597870342422704e-11,1.4126473263477549e-05
4.2e-05,6.643856746406144e-11,1.2065914824478343e-05
4.28e-05,7.686447557247773e-11,9.159153227444457e-06
4.4e-05,8.402897253408692e-11,5.396833415793605e-06
4.48e-05,8.719226612332922e-11,1.020552187837789e-06
4.6e-05,8.597841455340351e-11,-3.482349513921945e-06
4.68e-05,8.053554537654606e-11,-7.567323762856588e-06
4.8e-05,7.147041627528429e-11,-1.0870244719507451e-05
4.88e-05,5.961209730518877e-11,-1.3297913999547378e-05
4.96e-05,4.577582437862044e-11,-1.4951036001396962e-05
5.08e-05,3.063600061232631e-11,-1.599861038525341e-05
5.16e-05,1.4706383303712997e-11,-1.6591066691681773e-05
5.28e-05,-1.620069994281369e-12,-1.6822256479074282e-05
5.36e-05,-1.8009282077582898e-11,-1.6718204368115738e-05
5.48e-05,-3.4118020495813696e-11,-1.6233659961515733e-05
5.56e-05,-4.95232593011682e-11,-1.52503532181235e-05
5.64e-05,-6.365347219647551e-11,-1.3585453995434404e-05
5.76e-05,-7.574258971468279e-11,-1.10348888788119e-05
5.83999999999e-05,-8.485612052105441e-11,-7.481566098283949e-06
5.96e-05,-9.005265006940633e-11,-3.054463826291502e-06
6.04e-05,-9.067991820339679e-11,1.783927301069428e-06
6.16e-05,-8.665273512881022e-11,6.3779627576365386e-06
6.24e-05,-7.849346329182846e-11,1.018947176751058e-05
6.36e-05,-6.709890534048646e-11,1.3002097761752398e-05
6.44e-05,-5.342772183547911e-11,1.4883319828510575e-05
6.52e-05,-3.829780269362199e-11,1.6027716464537567e-05
6.64e-05,-2.232967810182981e-11,1.6630203021229387e-05
6.72e-05,-5.979468028298955e-12,1.6827884715589095e-05
6.84e-05,1.0395367237673188e-11,1.668537247638507e-05
6.92e-05,2.646508012143715e-11,1.6195299810029948e-05
7.04e-05,4.1858775333190084e-11,1.528129313807461e-05
7.12e-05,5.610004861277799e-11,1.3805783371303499e-05
7.2e-05,6.855856297605079e-11,1.1598516309413287e-05
7.32e-05,7.844920715756896e-11,8.529163854808432e-06
7.4e-05,8.492713191094213e-11,4.627556300570934e-06
7.52e-05,8.730040572690172e-11,1.863637274064069e-07
7.6e-05,8.528309756264611e-11,-4.278019640904487e-06
7.72e-05,7.911942861580103e-11,-8.23868005388946e-06
7.8e-05,6.947703443451082e-11,-1.138045596827005e-05
7.92e-05,5.719763483921703e-11,-1.3654754871111793e-05
8e-05,4.307643834554985e-11,-1.5183737585996883e-05
8.08e-05,2.775740287264546e-11,-1.6137860018379196e-05
8.2e-05,1.1728098427621148e-11,-1.6658886736531667e-05
8.28e-05,-4.634256477425473e-12,-1.6828642119429506e-05
8.4e-05,-2.0999094349400124e-11,-1.6660270750821705e-05
8.48e-05,-3.701388024952705e-11,-1.6095150429208784e-05
8.6e-05,-5.223322501270382e-11,-1.5001916514875999e-05
8.68e-05,-6.605204725714803e-11,-1.3189017782353915e-05
8.8e-05,-7.766816986808048e-11,-1.0458042775427273e-05
8.88e-05,-8.612899734133043e-11,-6.724915622719221e-06
8.96e-05,-9.052153544796456e-11,-2.1784577303826973e-06
9.08e-05,-9.028127022174277e-11,2.665110760261615e-06
9.16e-05,-8.544086323809382e-11,7.147571183236858e-06
9.28e-05,-7.661461118360878e-11,1.078175112520707e-05
9.36e-05,-6.4732570229062e-11,1.341233621276173e-05
9.48e-05,-5.07380389098576e-11,1.5142398086441473e-05
9.56e-05,-3.541332286316105e-11,1.6173963872663737e-05
9.64e-05,-1.9344728171983244e-11,1.669394294300967e-05
9.76e-05,-2.9649701216983123e-12,1.6826482390184517e-05
9.84e-05,1.337886364549009e-11,1.6622790480851238e-05
9.96e-05,2.935454713103958e-11,1.6062578312568396e-05
0.0001004,4.457641226758018e-11,1.505732621564521e-05
0.0001016,5.854257898738751e-11,1.346033627008559e-05
0.0001024,7.059219683351558e-11,1.1101618158038962e-05
0.0001036,7.991849031489302e-11,7.87034646277159e-06
0.0001044,8.568575568408854e-11,3.83940178528501e-06
0.0001052,8.725898583541313e-11,-6.486394046646308e-07
0.0001064,8.444678531020594e-11,-5.05605643341091e-06
0.0001072,7.75855760019635e-11,-8.881644486424647e-06
0.0001084,6.739492402423449e-11,-1.1860953430670765e-05
0.0001092,5.4721526218694813e-11,-1.3986358242148833e-05
0.0001104,4.033711029531318e-11,-1.5397153753911585e-05
0.0001112,2.4855163923083685e-11,-1.6262678572135085e-05
0.000112,8.738713006747773e-12,-1.671505180916152e-05
0.0001132,-7.648585307115598e-12,-1.6823823007371517e-05
0.000114,-2.3977357500528782e-11,-1.6589162550146876e-05
0.0001152,-3.988336482643137e-11,-1.5939013735977316e-05
0.000116,-5.489653801553704e-11,-1.472926314142423e-05
0.0001172,-6.837682544680601e-11,-1.2761341161713968e-05
0.000118,-7.948731996089237e-11,-9.846634826781067e-06
0.0001192,-8.726375314235568e-11,-5.939850995371181e-06
0.00012,-9.083249921618321e-11,-1.2919886463950187e-06
0.0001208,-8.972585056733377e-11,3.5335833886807166e-06
0.000122,-8.409374888531636e-11,7.887579013636703e-06
0.0001228,-7.463275833969804e-11,1.1339467454614685e-05
0.000124,-6.229550595705204e-11,1.3791970294304827e-05
0.0001248,-4.8004068992304815e-11,1.537799472158916e-05
0.000126,-3.250418832103853e-11,1.6303146964037314e-05
0.0001268,-1.6349520237557678e-11,1.674482199458067e-05
0.000128,4.8277285930964605e-14,1.681393839321904e-05
0.0001288,1.6350094741966744e-11,1.654837573798599e-05
0.0001296,3.221892141408735e-11,1.591501917052743e-05
0.0001308,4.725216530988203e-11,1.481349116878843e-05
0.0001316,6.092093062586163e-11,1.308906800918863e-05
0.0001328,7.253414358557988e-11,1.057479505889827e-05
0.0001336,8.126725179701232e-11,7.183771226137531e-06
0.0001348,8.63017147314362e-11,3.0352351725069487e-06
0.0001356,8.706818740280423e-11,-1.4808104925924811e-06
0.0001364,8.347288331830362e-11,-5.813754197102414e-06
0.0001376,7.593915780804951e-11,-9.495330272749734e-06
0.0001384,6.52293630330515e-11,-1.231226712284276e-05
0.0001396,5.218819561604769e-11,-1.4293809658518626e-05
0.0001404,3.7561202964631095e-11,-1.5592303394052712e-05
0.0001416,2.1931807049375075e-11,-1.63737440634221e-05
0.0001424,5.7402903971349055e-12,-1.6759821766355714e-05
0.0001436,-1.0661034665238353e-11,-1.6807621836735933e-05
0.0001444,-2.694165614187504e-11,-1.6504247518898474e-05
0.0001452,-4.2723221434207344e-11,-1.576417525381324e-05
0.0001464,-5.750874022572999e-11,-1.4431050669907116e-05
0.0001472,-7.06221142214254e-11,-1.2301371568450509e-05
0.0001484,-8.119386698502613e-11,-9.200926010459574e-06
0.0001492,-8.825551318248341e-11,-5.128845270025732e-06
0.0001504,-9.09840410318336e-11,-3.9925759795817956e-07
0.0001512,-8.901628685774992e-11,4.385474297185416e-06
0.000152,-8.261686295395042e-11,8.596177780959481e-06
0.0001532,-7.25540797104202e-11,1.1862852763588294e-05
0.000154,-5.979308660185887e-11,1.414222221895343e-05
0.0001552,-4.52299012903819e-11,1.5591411506480777e-05
0.000156,-2.957336910770747e-11,1.64162212355385e-05
0.0001572,-1.3346312000805047e-11,1.678334109725864e-05
0.000158,3.0582841050963754e-12,1.6790303664246838e-05
0.0001592,1.9306907837163526e-11,1.646174640380236e-05
0.00016,3.505547543646127e-11,1.575183386310326e-05
0.0001608,4.9882379208584264e-11,1.4548709074028062e-05
0.000162,6.323038682702052e-11,1.2690971398984585e-05
0.0001628,7.437902023090108e-11,1.0017834948854207e-05
0.000164,8.249064041016602e-11,6.470848712661217e-06
0.0001648,8.677241702925082e-11,2.218181001787302e-06
0.000166,8.672884116725538e-11,-2.3065520359878554e-06
