case,model,order,version,n,time_sec
1,2,2,2,190,0.21691635204479098
1,2,2,2,200,0.22912974515929818
1,2,2,2,210,0.2405352732166648
1,2,2,2,220,0.25092129595577717
1,2,2,2,230,0.2617979939095676
1,2,2,2,240,0.27397679910063744
1,2,2,2,250,0.2884876145981252
1,2,2,2,260,0.29508598102256656
1,2,2,2,270,0.30875092186033726
1,2,2,2,280,0.32347566122189164
1,2,2,2,290,0.3290678379125893
1,2,2,2,300,0.3390818117186427
1,2,2,2,310,0.35241053299978375
1,2,2,2,320,0.36284638196229935
1,2,2,2,330,0.37619807571172714
1,2,2,2,340,0.3871384742669761
1,2,2,2,350,0.39810720924288034
1,2,2,2,360,0.40977936005219817
1,2,2,2,370,0.4214888969436288
1,2,2,2,380,0.43271547090262175
1,2,2,2,390,0.4444811940193176
1,2,2,2,400,0.45585000002756715
1,2,2,2,410,0.466370299924165
1,2,2,2,420,0.47888814890757203
1,2,2,2,430,0.49023464880883694
1,2,2,2,440,0.5012567560188472
1,2,2,2,450,0.512007855810225
1,2,2,2,460,0.5235975300893188
1,2,2,2,470,0.5352368368767202
1,2,2,2,480,0.5464265299960971
1,2,2,2,490,0.5568483802489936
1,2,2,2,500,0.5717317969538271
1,2,2,2,510,0.5803070100955665
1,2,2,2,520,0.5921579850837588
1,2,2,2,530,0.6036283690482378
1,2,2,2,540,0.6154148038476706
1,2,2,2,550,0.6252713240683079
1,2,2,2,560,0.6369241271167994
1,2,2,2,570,0.6493596942164004
1,2,2,2,580,0.6604903759434819
1,2,2,2,590,0.6727165710180998
1,2,4,1,20,0.02275263797491789
1,2,4,1,30,0.034383781254291534
1,2,4,1,40,0.04557806206867099
1,2,4,1,50,0.05722479894757271
1,2,4,1,60,0.06834355695173144
1,2,4,1,70,0.07994541106745601
1,2,4,1,80,0.09146350109949708
1,2,4,1,90,0.10281662316992879
1,2,4,1,100,0.11392383836209774
1,2,4,1,110,0.12526530819013715
1,2,4,1,120,0.13685384206473827
1,2,4,1,130,0.14865741226822138
1,2,4,1,140,0.15962150786072016
1,2,4,1,150,0.1714127277955413
1,2,4,1,160,0.182944028172642
1,2,4,1,170,0.19357916433364153
1,2,4,1,180,0.205095618031919
1,2,4,1,190,0.21691898489370942
1,2,4,1,200,0.22782456316053867
1,2,4,1,210,0.24056093767285347
1,2,4,1,220,0.25049317022785544
1,2,4,1,230,0.2628721562214196
1,2,4,1,240,0.27356133982539177
1,2,4,1,250,0.28516743099316955
1,2,4,1,260,0.29522357787936926
1,2,4,1,270,0.30605726409703493
1,2,4,1,280,0.31860380014404655
1,2,4,1,290,0.33013218035921454
1,2,4,1,300,0.3413678309880197
1,2,4,1,310,0.3521378831937909
1,2,4,1,320,0.3629669710062444
1,2,4,1,330,0.37535283202305436
1,2,4,1,340,0.3862788868136704
1,2,4,1,350,0.397283932659775
1,2,4,1,360,0.4086807956919074
1,2,4,1,370,0.42101400112733245
1,2,4,1,380,0.4322555479593575
1,2,4,1,390,0.4449145537801087
1,2,4,1,400,0.4541223240084946
1,2,4,1,410,0.4666611151769757
1,2,4,1,420,0.47809013025835156
1,2,4,1,430,0.48875208012759686
1,2,4,1,440,0.5011686021462083
1,2,4,1,450,0.511158986017108
1,2,4,1,460,0.520790726877749
1,2,4,1,470,0.5343759590759873
1,2,4,1,480,0.5462280712090433
1,2,4,1,490,0.5584660521708429
1,2,4,1,500,0.5702532799914479
1,2,4,1,510,0.5799440601840615
1,2,4,1,520,0.5897579030133784
1,2,4,1,530,0.6034049806185067
1,2,4,1,540,0.6141037908382714
1,2,4,1,550,0.6281375759281218
1,2,4,1,560,0.6369634550064802
1,2,4,1,570,0.6492269998416305
1,2,4,1,580,0.6589397620409727
1,2,4,1,590,0.6729662911966443
1,2,4,2,20,0.022815913893282413
1,2,4,2,30,0.03417664021253586
1,2,4,2,40,0.045390269719064236
1,2,4,2,50,0.05707903206348419
1,2,4,2,60,0.06844187807291746
1,2,4,2,70,0.07965945731848478
1,2,4,2,80,0.09074695315212011
1,2,4,2,90,0.10218458203598857
1,2,4,2,100,0.11353464936837554
1,2,4,2,110,0.12550146970897913
1,2,4,2,120,0.1367482589557767
1,2,4,2,130,0.14820963284000754
1,2,4,2,140,0.15946277882903814
1,2,4,2,150,0.17123581795021892
1,2,4,2,160,0.1821477939374745
1,2,4,2,170,0.19410806382074952
1,2,4,2,180,0.20525709073990583
1,2,4,2,190,0.21771302679553628
1,2,4,2,200,0.228223558049649
1,2,4,2,210,0.23986013466492295
1,2,4,2,220,0.250581132248044
1,2,4,2,230,0.2612629709765315
1,2,4,2,240,0.2727439240552485
1,2,4,2,250,0.2849138341844082
1,2,4,2,260,0.29570335103198886
1,2,4,2,270,0.30813012598082423
1,2,4,2,280,0.31890692096203566
1,2,4,2,290,0.3306673429906368
1,2,4,2,300,0.34087949385866523
1,2,4,2,310,0.35259298980236053
1,2,4,2,320,0.3636928517371416
1,2,4,2,330,0.37552366917952895
1,2,4,2,340,0.3857680819928646
1,2,4,2,350,0.39801015378907323
1,2,4,2,360,0.4095733221620321
1,2,4,2,370,0.4208962400443852
1,2,4,2,380,0.4314904771745205
1,2,4,2,390,0.44362946692854166
1,2,4,2,400,0.45531365694478154
1,2,4,2,410,0.46688775392249227
1,2,4,2,420,0.4784860387444496
1,2,4,2,430,0.4894817676395178
1,2,4,2,440,0.5014646193012595
1,2,4,2,450,0.5130209210328758
1,2,4,2,460,0.5231611039489508
1,2,4,2,470,0.5347644677385688
1,2,4,2,480,0.5470090880990028
1,2,4,2,490,0.5584673080593348
1,2,4,2,500,0.5693485802039504
1,2,4,2,510,0.5811256263405085
1,2,4,2,520,0.5904991957359016
1,2,4,2,530,0.6024402040056884
1,2,4,2,540,0.6121568330563605
1,2,4,2,550,0.6250319052487612
1,2,4,2,560,0.6353536532260478
1,2,4,2,570,0.6467868448235095
1,2,4,2,580,0.6595521359704435
1,2,4,2,590,0.6711068931035697
1,2,6,1,20,0.02275737887248397
1,2,6,1,30,0.03417437803000212
1,2,6,1,40,0.04554393794387579
1,2,6,1,50,0.05711315758526325
1,2,6,1,60,0.0682042702101171
1,2,6,1,70,0.07999339187517762
1,2,6,1,80,0.09092034585773945
1,2,6,1,90,0.102824074216187
1,2,6,1,100,0.11362406797707081
1,2,6,1,110,0.12558830808848143
1,2,6,1,120,0.1365847922861576
1,2,6,1,130,0.14750812575221062
1,2,6,1,140,0.1592840449884534
1,2,6,1,150,0.17154662497341633
1,2,6,1,160,0.18250798899680376
1,2,6,1,170,0.19425636716187
